Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	3	7.6923076923076925	0.0030814710209288894	P60901, O45734, O60911	32	33	12321	35.002840909090914	0.4064136729547084	0.5207686025369823	0.5207686025369823
GOTERM_CC_DIRECT	GO:0030016~myofibril	3	7.6923076923076925	0.005921194749247864	Q29RW1, P60901, Q90339	36	43	13014	25.220930232558135	0.35943814536104335	0.3017689340674566	0.3017689340674566
GOTERM_CC_DIRECT	GO:0032019~mitochondrial cloud	2	5.128205128205128	0.008047171575132175	H0WFA5, F1R237	36	3	13014	241.0	0.4544601157893027	0.3017689340674566	0.3017689340674566
UP_KW_BIOLOGICAL_PROCESS	KW-0744~Spermatogenesis	3	7.6923076923076925	0.010685117138976213	H0WFA5, F1R237, Q4R8M9	15	89	7812	17.55505617977528	0.19333939155692592	0.21370234277952427	0.21370234277952427
GOTERM_CC_DIRECT	GO:0005576~extracellular region	8	20.51282051282051	0.013239054681662728	O88803, Q9YGV1, Q6JV22, Q5MK86, P54097, P35763, O45734, O60911	36	969	13014	2.984520123839009	0.631958809257954	0.3309763670415682	0.3309763670415682
SMART	SM00848:SM00848	2	5.128205128205128	0.014847935460768466	O45734, O60911	17	7	7498	126.01680672268907	0.3016413392550583	0.3039214573504029	0.3039214573504029
INTERPRO	IPR013201:Proteinase inhibitor I29, cathepsin propeptide	2	5.128205128205128	0.018439947427642944	O45734, O60911	36	7	13184	104.63492063492063	0.8583319562886818	0.7216782835805432	0.7216782835805432
UP_KW_PTM	KW-1015~Disulfide bond	11	28.205128205128204	0.022629453212671867	Q9YGZ9, O88803, Q9YGV1, Q6JV22, A5X5Y0, Q5MK86, P54097, P35763, O45734, P15589, O60911	23	2117	8802	1.9884989012343144	0.2045873866529544	0.24892398533939053	0.24892398533939053
INTERPRO	IPR025661:Cysteine peptidase, asparagine active site	2	5.128205128205128	0.023647548047972203	O45734, O60911	36	9	13184	81.38271604938271	0.9189607837396754	0.7216782835805432	0.7216782835805432
SMART	SM00645:Pept_C1	2	5.128205128205128	0.025326788112533572	O45734, O60911	17	12	7498	73.50980392156862	0.4597227012623958	0.3039214573504029	0.3039214573504029
INTERPRO	IPR025660:Cysteine peptidase, histidine active site	2	5.128205128205128	0.02882830541207194	O45734, O60911	36	11	13184	66.58585858585859	0.9536465894780337	0.7216782835805432	0.7216782835805432
INTERPRO	IPR000668:Peptidase C1A, papain C-terminal	2	5.128205128205128	0.03140865987306007	O45734, O60911	36	12	13184	61.03703703703703	0.964944102303419	0.7216782835805432	0.7216782835805432
UP_KW_BIOLOGICAL_PROCESS	KW-0896~Oogenesis	2	5.128205128205128	0.033544561627219756	H0WFA5, F1R237	15	19	7812	54.821052631578944	0.49459831579888947	0.33544561627219754	0.33544561627219754
UP_KW_MOLECULAR_FUNCTION	KW-0788~Thiol protease	3	7.6923076923076925	0.03606136739731354	Q9NP73, O45734, O60911	23	117	8527	9.50613154960981	0.7334504806270989	1.0	1.0
GOTERM_CC_DIRECT	GO:0043186~P granule	2	5.128205128205128	0.037018762297312845	H0WFA5, F1R237	36	14	13014	51.642857142857146	0.9409340871175382	0.6941017930746158	0.6941017930746158
INTERPRO	IPR014751:DNA repair protein XRCC4, C-terminal	2	5.128205128205128	0.04421085788859196	Q29RW1, Q90339	36	17	13184	43.084967320261434	0.9913299875728363	0.7216782835805432	0.7216782835805432
UP_KW_CELLULAR_COMPONENT	KW-0787~Thick filament	2	5.128205128205128	0.04648994577094662	Q29RW1, Q90339	33	18	12124	40.821548821548824	0.6140726690127998	0.5339499828075694	0.5339499828075694
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	7	17.94871794871795	0.053394998280756945	O88803, Q9YGV1, Q6JV22, Q5MK86, P54097, P35763, O45734	33	1048	12124	2.453967152440435	0.6662848695946246	0.5339499828075694	0.5339499828075694
GOTERM_CC_DIRECT	GO:0005615~extracellular space	6	15.384615384615385	0.054070676441494894	Q8N239, Q9YGV1, P54097, P35763, O45734, O60911	36	773	13014	2.805950840879689	0.9845331579037392	0.8110601466224234	0.8110601466224234
INTERPRO	IPR008989:Myosin S1 fragment, N-terminal	2	5.128205128205128	0.05433412176143942	Q29RW1, Q90339	36	21	13184	34.87830687830688	0.9971656042100313	0.7216782835805432	0.7216782835805432
INTERPRO	IPR000169:Cysteine peptidase, cysteine active site	2	5.128205128205128	0.05935661755487357	O45734, O60911	36	23	13184	31.84541062801932	0.9983795879105627	0.7216782835805432	0.7216782835805432
INTERPRO	IPR002999:Tudor domain	2	5.128205128205128	0.05935661755487357	F1R237, Q9NP73	36	23	13184	31.84541062801932	0.9983795879105627	0.7216782835805432	0.7216782835805432
INTERPRO	IPR002928:Myosin tail	2	5.128205128205128	0.061858138592617996	Q29RW1, Q90339	36	24	13184	30.518518518518515	0.9987748363350789	0.7216782835805432	0.7216782835805432
GOTERM_CC_DIRECT	GO:0032982~myosin filament	2	5.128205128205128	0.06516767859657131	Q29RW1, Q90339	36	25	13014	28.919999999999998	0.9936169394588368	0.8145959824571414	0.8145959824571414
GOTERM_BP_DIRECT	GO:0048477~oogenesis	2	5.128205128205128	0.06817952113399531	H0WFA5, F1R237	32	28	12321	27.502232142857146	0.9999934362748217	1.0	1.0
GOTERM_BP_DIRECT	GO:0055074~calcium ion homeostasis	2	5.128205128205128	0.07052934907035036	O15528, Q5MK86	32	29	12321	26.553879310344826	0.9999957161911099	1.0	1.0
UP_KW_PTM	KW-0325~Glycoprotein	12	30.76923076923077	0.0709904595158268	Q9YGZ9, Q0EEE2, Q2KI97, P60901, Q9YGV1, A5X5Y0, Q5MK86, P54097, P35763, O45734, P15589, O60911	23	2889	8802	1.5895977245022348	0.5211475209480444	0.3904475273370474	0.3904475273370474
UP_KW_DOMAIN	KW-0732~Signal	11	28.205128205128204	0.07252292372074073	O88803, Q9YGV1, Q6JV22, A5X5Y0, Q5MK86, P54097, P35763, O45734, P15589, P59913, O60911	26	2378	9479	1.6864365659571716	0.6514664576754896	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Myosin N-terminal SH3-like	2	5.128205128205128	0.07411734705823243	Q29RW1, Q90339	36	29	13212	25.310344827586206	0.999982178488895	1.0	1.0
INTERPRO	IPR004009:Myosin, N-terminal, SH3-like	2	5.128205128205128	0.0742691239005206	Q29RW1, Q90339	36	29	13184	25.256704980842912	0.9996973792842084	0.7798258009554663	0.7798258009554663
GOTERM_BP_DIRECT	GO:0014823~response to activity	2	5.128205128205128	0.08219273366600201	Q29RW1, Q6JV22	32	34	12321	22.648897058823533	0.999999493006842	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	2	5.128205128205128	0.08661616181546854	P04323, P08548	23	35	8527	21.185093167701865	0.9616716945677635	1.0	1.0
GOTERM_BP_DIRECT	GO:0043627~response to estrogen	2	5.128205128205128	0.09142134203898936	O15528, P15589	32	38	12321	20.26480263157895	0.9999999081100996	1.0	1.0
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	2	5.128205128205128	0.09192739064379711	P04323, P08548	34	35	12011	20.18655462184874	0.9995084977540504	1.0	1.0
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	3	7.6923076923076925	0.09202401498827936	H0WFA5, F1R237, Q4R8M9	32	203	12321	5.6901169950738915	0.9999999178576381	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	4	10.256410256410255	0.09236744766990664	P04323, Q9NP73, O45734, O60911	23	422	8527	3.5141149804244796	0.9694675055924781	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	2	5.128205128205128	0.09601384530506436	P04323, P08548	36	38	13212	19.31578947368421	0.9999994043754226	1.0	1.0
INTERPRO	IPR000477:Reverse transcriptase	2	5.128205128205128	0.09620814994358201	P04323, P08548	36	38	13184	19.274853801169588	0.9999756115511079	0.9183505221887374	0.9183505221887374
