Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_LIGAND	KW-0479~Metal-binding	9	64.28571428571429	0.0093046105762389	O70138, P51596, P48442, P22680, A4QP81, O43548, O73761, Q71MM5, Q6P158	9	3060	5488	1.7934640522875818	0.07205735305679128	0.0744368846099112	0.0744368846099112
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	2	14.285714285714285	0.040182733652571336	P48442, P22680	10	56	12321	44.00357142857143	0.9820328699529939	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=7	3	21.428571428571427	0.06909866033205711	P48442, A4QP81, Q8TDS4	14	445	13212	6.362118780096307	0.9863786761636609	0.7291145415684152	0.7291145415684152
UP_SEQ_FEATURE	BINDING:axial binding residue	2	14.285714285714285	0.07228489384824922	P22680, A4QP81	14	76	13212	24.834586466165412	0.9889113748864655	0.7291145415684152	0.7291145415684152
UP_KW_DOMAIN	KW-0732~Signal	6	42.857142857142854	0.07903933282348252	O70138, P48442, O93337, A4QP81, Q9Z0J7, Q6P158	11	2378	9479	2.174248795779494	0.3898361197355178	0.47423599694089513	0.47423599694089513
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	2	14.285714285714285	0.07960274168728498	O70138, Q9Z0J7	10	113	12321	21.807079646017698	0.9997051636682637	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=6	3	21.428571428571427	0.08700248398727865	P48442, A4QP81, Q8TDS4	14	508	13212	5.573115860517435	0.9957520855947778	0.7291145415684152	0.7291145415684152
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=5	3	21.428571428571427	0.08967050877663185	P48442, A4QP81, Q8TDS4	14	517	13212	5.476098369715391	0.9964361719051292	0.7291145415684152	0.7291145415684152
UP_KW_LIGAND	KW-0106~Calcium	4	28.57142857142857	0.09370008380236919	O70138, P48442, O43548, O73761	9	785	5488	3.1071479122434535	0.5448280207638523	0.37480033520947675	0.37480033520947675
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=3	3	21.428571428571427	0.0941742663402685	P48442, A4QP81, Q8TDS4	14	532	13212	5.321697099892588	0.9973534551069932	0.7291145415684152	0.7291145415684152
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=4	3	21.428571428571427	0.09538703198303505	P48442, A4QP81, Q8TDS4	14	536	13212	5.281982942430703	0.9975578712567422	0.7291145415684152	0.7291145415684152
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=2	3	21.428571428571427	0.09721527220912202	P48442, A4QP81, Q8TDS4	14	542	13212	5.223510806536637	0.9978370214318255	0.7291145415684152	0.7291145415684152
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=1	3	21.428571428571427	0.09721527220912202	P48442, A4QP81, Q8TDS4	14	542	13212	5.223510806536637	0.9978370214318255	0.7291145415684152	0.7291145415684152
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	6	42.857142857142854	0.09826938705928148	O70138, P51596, A4QP81, O43548, Q71MM5, Q6P158	14	2397	12011	2.1475058108349723	0.9904839520350492	1.0	1.0
