OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
Q4R8M9	Q80ZW0	Q08BL3	Q9BYK8	Q7ZYP0	Q7RTR2	Q6DRP2	Q9BYK8	Q9BYK8	Q04202
P79782	Q08DK4	Q5R7Z5	P47900	Q8NG04	Q6AZB8	Q5R7Z5	Q1LXK4	Q7RTR2	Q8NG04
Q8BVA4	Q01635	Q5VWQ0	Q1LXK4	Q9H0H5	Q96KM6	Q5VWQ0	Q4R8M9	P79819	Q04913
Q9JHY7	Q9ESN2	Q7M3E1	Q4R8M9	P79782	Q7ZZL8	P25685	Q9BYL1	Q6AZB8	P79782
Q6J329	Q62735	P02264	Q9BYL1	Q8VCL5	P30873	Q9NQ55	Q9YGZ9	O14686	Q99MR9
O60683	Q8C0Q3	Q9PT84	Q9YGZ9	Q99MR9	Q1LXK4	Q96D21	Q13231	P30873	Q3YL68
P13207	Q14500	Q6PC60	Q8R5F3	Q2KJJ0	Q4R8M9	Q96DM1	O02751	O75051	Q9JHY7
Q6NYX6	P02264	Q9I8F9	O02751	Q3YL68	Q9BR26	O93337	Q6GLJ1	Q4R8M9	Q8K4C2
Q9BSY4	P02264	Q91233	Q7RTR2	Q9JHY7	O73700	O89033	Q8CEF8	O73700	O02697
O94778	Q90ZY4	Q91233	Q5REG4	P20774	Q0VBL3	Q7T292	P16423	Q91233	Q7M3E1
Q5EZ72	Q800Y2	Q9NQ55	Q8CEF8	Q8K4C2	Q91233	P21328	Q9NUV9	A9ULZ2	P22735
Q6UXS0	Q1ZZS1	O95785	Q8NHV1	O02697	A9ULZ2	Q5RGE6	Q8NHV1	Q6INN8	P13207
Q3UV16	Q8IY33	Q96DM1	Q66I74	P20825	Q2EEY0	O92815	Q568E2	O15083	P02264
P00718	Q8BGY9	O89033	Q5EZ72	Q6J329	O15083	Q6PEH4	Q5EZ72	Q9NUU7	Q99MS3
P49684	Q05481	P01130	P21927	Q7M3E1	Q9NUU7	P48722	P31646	Q9HCI6	Q6PC60
O95237	O73746	A7Z019	P53774	P22735	A1L1R5	Q5ZJH9	Q08CX5	P24505	P02264
Q8N4B5	Q9JHE5	Q9N126	P31646	P13207	P24505	Q695T7	Q5CZR5	Q7RTR2	Q28HC6
Q8K2W3	Q8BGE9	Q8R555	A5PJX7	Q6VFT6	Q7RTR2	Q71MM5	Q14582	Q5GH72	P84610
G3X987	Q80T02	E7F594	Q5K651	P02264	Q9JIS7	A8MVU1	Q3ZKN0	Q9JIS7	Q1AGS4
Q5R5Y3	P59055	Q8NFU1	Q5CZR5	Q99MS3	P21328	A3KPP4	A5PMF6	P49263	Q9WV84
C1JZ66	Q80ZU9	Q05481	O95237	P02264	Q60710	P50615	Q9NP73	P21328	Q8AWY9
Q8BGW2	Q8K1S5	Q5RGE6	A5PMF6	Q28HC6	P0CT39	Q8VEJ4	Q01703	O88278	Q09200
Q5RH02	Q8BGW8	Q5U3U7	Q7RTR2	P70389	Q62682	P01214	Q7RTR2	Q5REG4	A5PJX7
Q6MFZ5	P13944	P48722	Q7RTR2	P0DP54	Q14500	Q04202	Q29RW1	P0CT39	Q6UXS0
O43309	Q9Y5R5	Q8JZR4	Q1XHU0	O08934	Q9BQR3	Q5ZI74	Q90339	B1AQJ2	P60003
P19971	O00482	Q5ZJH9	P50151	Q9WV84	Q6GLJ1	Q9Z0J7	Q62158	Q6GLJ1	Q05B51
Q9CWB7	P35408	P83829	Q9CWB7	Q96KN9	Q00872	P55918	Q7RTR2	Q00872	Q6ZMP0
Q62158	Q96EH8	P49290	Q2YDP8	Q9BQR3	Q9PT84	Q5ZM39	Q8C0E3	Q4V922	Q5YB40
Q7RTR2	Q76LX8	A8MVU1	Q80T02	Q6P1R4	P31321	Q9GLD3	Q6PHG2	Q8NHV1	P49684
O70320	P14381	O94972	Q62158	Q6UXS0	Q9JL55	P38532	Q7RTR2	A0A1B0GRQ0	Q7TMS5
Q5NVT2	Q7RTR2	A3KPP4	Q7RTR2	P42125	Q92633	Q969X6	P0CT40	Q91233	P0CB94
Q08DK7	F1QWM2	P42688	Q6MFZ5	Q6ZMP0	P21328	P0DPI2	Q7RTR2	P21328	Q8N4B5
A5D7L5	P29773	P01214	Q6PHG2	P14380	Q7ZU45	P18625	Q7RTR2	Q8CE33	Q5R5Y3
P55008	A4II20	Q04202	Q7RTR2	Q32PL8	P18861	P46087	Q8CDF7	Q5SX40	Q5R5Y3
Q695T7	O93367	O15054	Q7RTR2	P49684	Q8VHW9	Q1JQD2	Q7RTR2	Q9EQQ8	C1JZ66
Q99JH1	Q02343	Q5ZI74	P0CT40	Q7TMS5	O70340	Q91Y80	F1QUP1	Q28009	Q8BGW2
Q6SJP8	Q9C009	P0CT40	Q5SPC5	Q8N4B5	Q2TBT8	Q8VBX1	Q7RTR2	P14381	Q6PC60
Q3T0J1	P27092	Q8CBH7	Q9PW88	G3X987	Q9Y663	Q6AYM1	Q7RTR2	Q9UJ78	Q9CWB7
Q71SG7	Q28084	Q5ZM39	Q8CDF7	Q8R555	Q5R8Q7	Q90257	P70079	P09815	P68266
Q9P215	Q7SIB3	Q99MV5	Q9BDB7	Q5R5Y3	Q5SX40	P79741	P35763	Q0II44	Q7RTR2
Q86VF5	P55918	Q504N0	Q7RTR2	Q5R5Y3	P06350	Q9NY61	Q99801	Q9P273	P14381
A4FVI0	Q5ZM39	A6NNN8	P20825	C1JZ66	Q9EQQ8	Q8IY81	Q7RTR2	Q2HXW4	A4IG42
Q5R5Y3	Q8C419	A0A0H3HIJ5	Q7RTR2	Q8BGW2	Q28009	P20397	Q95SX7	Q6PRD1	A4IG42
O42363	Q8IYA7	P0DPI2	P70079	Q1JQ19	Q0VD05	Q02643	P15589	Q9Y2H9	A4IG42
Q8CQD9	A4Z944	P0DPI2	Q8R4F1	Q05481	P14381	Q71RC2	E7F240	Q15034	Q7T070
P14381	P31422	P52649	Q9JJ22	Q5RGE6	Q920M7	O43548	Q8VCC1	Q8TCQ1	Q5RBX7
Q0VC74	B5XG43	Q923J1	Q4RSW7	Q7RTR2	Q0II44	B5X9L9	C0H9B6	P98160	P49763
Q98989	Q8BR07	Q6AYM1	Q7RTR2	P19971	P04146	Q9BVI0	P79826	A5PMF6	Q695T7
Q28DB5	P79690	Q5BIP8	Q7RTR2	P19971	Q6PRD1	Q3U1D0	P28770	Q13625	Q71MM5
Q28DB5	A4IFA3	Q8IZY2	B5MCY1	Q6PC60	Q575S8	Q14146	P10522	Q8VCW4	Q04202
Q98SV0	Q5DRC1	Q02643	Q95SX7	Q803M0	Q15034	P79398	Q98SV0	P62697	Q1W0Y2
Q4JF29	P28562	P42336	P15589	P11607	A4II20	Q810V0	Q5CZR5	Q7RTR2	O42493
Q8BGR2	P16295	Q71RC2	Q7RTR2	P68266	Q8TCQ1	P55167	P52909	Q7RTR2	Q3T0J1
Q2L6L1	Q1ECW2	Q7T2D1	O55240	Q5ZMF3	D3YXK1	A8DZE7	Q9PVW7	Q7RTR2	Q32P65
Q1XHU0	P18625	Q7RTX0	Q9H3L0	P08537	P56747	Q5VV67	P21328	Q1L8F4	P49290
Q96FN4	P58006	Q9BVI0	A4IFA3	O92815	G3X987	Q2KIJ2	Q96FN4	P21328	P00592
A3KPN8	Q5XIV0	Q3U1D0	Q8VCC1	Q7RTR2	Q7ZV46	P13821	Q9H0J9	Q10836	Q20FD0
Q9GZX3	Q8UUY8	A8DZE7	C0H9B6	O42586	Q13625	O02228	Q09M05	Q90339	P79782
P15145	Q8AXV6	Q5VV67	Q66KV4	P14381	P08913	Q58D06	Q920E0	Q8BGE9	Q86VF5
Q568D2	P52794	Q2KIJ2	P10522	Q5RKZ7	Q3UHC7	P48442	Q9M571	P08548	E7F240
P30372	Q14964	O02228	A5WVU6	A4IG42	O13089	P73709	Q24JV9	P40306	Q98TY9
P47827	P49864	P48442	A2AED3	Q5ZJH9	Q8VCW4	Q3UUQ7	Q5DRB8	Q80T02	O57429
P0DPI2	Q923J1	Q9WTW3	Q5CZR5	Q5ZMT7	P62697	Q7TQH0	Q1ECW2	Q5QQ37	Q86XS5
Q12981	Q148G5	P73709	Q9PVW7	Q695T7	Q7RTR2	P51596	Q9BVK6	O96006	P27105
P35031	Q58DX5	A0JMF7	Q92051	Q8N2E2	Q7RTR2	Q7SY48	P52624	E9QAG8	Q5R5Y3
A0A2Y9HKB5	P42336	Q6ZNB6	P21328	Q71MM5	Q1L8F4	Q15397	Q92104	Q6ZMW2	Q8CQD9
Q8AXF4	Q80UG2	Q95SX7	Q3T9E4	Q6ZM51	P21328	Q8TDS4	P21109	Q7RTR2	Q9BUR5
Q32NK7	Q66HE5	P70085	Q99P30	Q62059	O73746	Q5RHY1	Q9GZV7	Q96LD4	Q08BY5
Q5ZMS4	Q9PW70	Q3UUQ7	P10978	Q04202	P10394	O73761	O45734	Q7RTR2	P51910
H7C241	O43548	Q7TQH0	Q96FN4	Q08DE6	Q8BGE9	Q5XG71	Q17QJ3	P52951	O89110
Q90YL3	Q99JZ7	Q96AY4	Q7YR26	O42493	Q60564	Q9I920	Q29297	Q9TU17	Q497L9
Q6DC66	Q80ZH1	Q5RHY1	Q9H0J9	Q3T0J1	P08548	Q6P158	Q1RLQ5	Q1XHU0	P29219
P03360	Q5XIU9	O73761	Q9M571	Q9R045	Q8WYL5	Q2HJ56	Q6R2W3	E9QAG8	Q09632
Q7T3H9	Q9HCI6	P17716	Q24JV9	Q20FD0	Q95LU3	P28022	Q8WXA8	Q6MFZ5	Q2L6L1
Q3S8M4	Q5M872	Q6P158	Q502D1	P04323	O73718	Q3T0Q8	Q86UP8	Q6MFZ5	Q91975
P98131	Q8WVH0	P28022	Q000K2	Q86VF5	Q58D85	O57521	O60911	Q96IR2	Q8MKD5
P52435	P56158	Q9D3G5	Q1ECW2	Q86VF5	Q80T02	U3JA75	P02767	Q2KIG3	B0VYY5
P26011	O73689	O57521	Q9BVK6	Q96PZ2	P14381	Q99LH9	Q16875	Q04202	Q504N0
A0PJX8	P53539	Q5TF21	Q3T004	Q9GKT2	Q503S1	Q8VI75	Q8BTG3	Q6MFZ5	P48788
B5X9L9	Q9WTW3	Q7Z6R9	Q07203	Q5R548	E9QAG8	P25391	O15528	Q7RTR2	Q86UP8
P70691	Q7RTR2	P51916	P52624	P42688	Q6ZMW2		Q2KI97	P0CT40	P0C548
Q98UK5	Q9Y6R7	Q9PTA0	Q68F62	Q8IXU6	Q7RTR2		Q9PW70	Q7RTR2	Q9GZX3
Q9UHE5	Q8NHU3	Q99LH9	P21109	O35280	Q96LD4		Q9WUB0	Q7RTR2	Q1LW01
Q9UHE5	Q5VWI1	P22448	Q9GZV7	P27105	Q7RTR2		Q5RB37	P80456	P35565
Q9UPQ4	Q9D2L5	P25391	O45734	Q5R5Y3	Q5R5U3		Q80ZH1	O94925	P86239
Q9ERE8	P00774	Q02290	Q17QJ3	Q8CQD9	P52951		O08739	Q58L93	Q20A00
Q6VVX0	Q28DT9		Q7RTR2	A1X158	A8YPR6		Q8CHK7	P19221	P0DPI2
A6QP81	Q9NYK1		Q5PRC0	Q0VC74	Q9TU17		Q96LD4	Q24K15	P0DPI2
P80646	Q9JKZ2		Q29297	Q802W2	E9QAG8		P17655	Q62556	Q000K2
P13913	P04323		D3YUG0	Q8N3Y7	Q6MFZ5		P14381	Q1L867	Q1KKZ3
Q5I0D7	P21329		Q90243	Q9BUR5	Q62158		Q9I9N6	Q3UZZ4	Q1KKZ6
O14975	Q5D1E7		Q8WXA8	Q96HZ4	Q6MFZ5		P14381	Q96MY7	Q32LC1
Q1LW01	P53450		Q8WXA8	P06858	Q6TLI7		Q9H840	A0JM56	Q8MK44
Q2KIJ2	Q9Z1E3		P03360	O89110	Q2KIG3		Q7SVK7	Q5U3G1	P16049
Q5ZIJ2	Q8K1S5		O60911	O89110	Q04202		Q1LUV9	O95428	Q91041
Q8IU99	Q7Z6R9		P02767	Q497L9	Q9I927		Q95SX7	Q2HJ49	Q91041
Q91WN1	Q63273		Q5TYP4	Q6DRD4	Q6MFZ5		C0H9B6	Q8C8H8	Q5TEJ8
Q7ZV84	Q6P0E7		Q16875	Q60843	Q7RTR2		Q9UMQ3	Q7RTR2	Q9TT23
Q1LUV9	Q9PTA0		Q2KI97	Q96KC8	Q9NBX4		Q8I7P9	Q6ZQX7	Q3T114
P01170	Q14B48		P02612	Q08759	P0CT40		P60901	Q810W5	O08746
