OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
115542345	115542769	115552102	115530896	115547740	115544303	115541387	115530896	115530896	115538500
115544976	115540111	115550022	115545465	115553767	115545877	115550022	115553646	115544303	115545225
115549926	115550612	115544480	115553646	115549184	115545740	115544480	115542345	115547869	115549184
115560848	115550991	115540239	115542345	115541958	115543687	115530020	115550367	115545877	115549746
115544061	115540084	115544726	115550367	115544976	115543108	115530646	115549022	115547788	115544976
115543728	115557353	115531915	115545168	115550294	115553646	115561727	115541681	115543108	115549694
115549577	115541691	115537232	115553433	115549694	115542345	115533016	115546646	115552763	115539943
115553920	115553841	115532422	115549022	115540356	115548962	115561168	115550934	115542345	115539874
115542976	115531560	115535376	115547696	115539874	115550170	115539404	115544061	115550170	115560848
115556573	115531915	115561060	115552068	115560848	115561704	115540716	115543720	115552416	115541628
115538366	115532401	115561011	115550934	115553614	115542801	115539701	115553384	115545332	115545896
115557477	115532723	115530646	115551613	115541628	115552416	115540854	115532289	115549644	115550667
115556903	115558685	115533016	115544061	115550667	115552603	115540922	115556610	115554158	115551533
115557385	115557222	115529408	115554705	115541189	115545332	115540518	115533815	115543148	115544726
115539397	115540716	115561168	115548029	115543728	115551811	115541451	115538366	115544143	115543980
115535628	115540286	115539701	115553384	115544726	115554158	115541703	115529072	115543285	115542976
115540451	115540760	115541073	115536097	115543980	115543148	115541581	115532830	115552023	115529566
115541106	115541134	115541068	115533815	115542976	115553626	115541823	115559778	115551613	115531915
115541030	115540479	115539889	115538366	115545582	115545769	115542123	115530879	115550986	115531785
115540422	115540492	115540613	115559778	115529566	115544143	115543547	115557710	115541889	115533910
115540981	115540533	115540030	115531053	115531915	115552023	115543957	115557385	115542341	115532411
115540217	115540544	115540562	115557385	115531785	115551597	115544399	115532980	115548991	115532401
115540110	115540861	115540815	115559757	115537270	115541889	115544984	115541032	115535635	115530777
115539848	115541415	115541415	115557228	115537066	115548991	115545498	115541134	115543906	115536367
115540576	115542701	115541451	115539408	115532401	115548119	115545559	115540763	115548029	115538475
115539749	115542676	115541703	115532980	115536367	115543906	115546007	115541107	115531221	115538775
115541470	115542255	115542123	115532994	115532596	115531221	115546780	115541041	115553049	115560866
115542682	115542602	115544553	115540676	115528791	115542196	115547562	115540321	115553523	115560881
115541874	115542783	115543957	115541134	115533089	115532347	115547772	115540925	115532347	115539473
115541543	115542887	115544373	115540945	115539473	115531560	115546712	115539904	115556557	115533016
115542459	115542949	115544399	115541041	115533016	115531711	115547259	115539905	115556664	115560246
115543153	115542208	115546067	115540395	115560246	115556664	115547531	115539931	115556610	115534223
115542015	115543015	115545609	115540422	115529615	115556610	115547471	115540890	115539252	115538792
115541672	115542331	115545855	115539905	115533538	115539252	115548401	115540156	115532784	115539399
115543023	115543975	115546513	115540092	115558309	115537232	115548331	115541422	115559778	115532994
115542751	115543774	115546780	115540358	115533491	115558977	115548699	115542852	115559810	115539397
115542760	115544121	115546941	115540803	115539397	115533847	115549615	115541283	115561060	115540568
115542396	115544655	115547562	115540162	115533716	115534114	115549275	115542533	115529574	115540762
115543832	115545480	115547461	115540157	115541062	115528866	115549388	115542530	115558983	115541062
115544343	115544987	115547531	115541422	115539699	115556874	115551354	115542887	115559222	115539699
115544184	115546067	115547573	115542680	115540459	115529574	115550708	115542760	115533163	115539708
115544449	115546127	115547471	115542852	115541082	115558983	115551402	115541733	115558707	115540763
115545542	115545843	115547157	115541283	115541101	115539195	115550696	115542285	115557222	115540624
115545498	115546092	115549076	115542015	115541030	115536120	115552719	115542391	115533637	115541101
115545532	115545342	115548401	115542499	115540594	115560736	115551963	115542093	115559619	115541001
115545124	115546442	115548628	115541672	115540981	115539382	115551857	115541317	115559590	115541030
115545122	115546730	115549283	115541884	115540487	115538175	115553386	115541785	115559584	115540594
115545478	115546483	115548592	115543023	115540110	115557632	115553961	115543007	115558251	115539968
115545618	115546893	115549615	115542887	115540613	115557803	115553589	115542974	115558279	115540927
115545627	115547598	115549388	115542949	115540662	115539371	115554656	115542988	115530313	115540981
115545626	115547235	115550236	115542760	115539848	115535332	115554251	115541274	115538238	115540175
115545454	115548612	115550351	115541733	115540576	115533163	115554398	115542206	115540263	115540662
115546890	115548435	115550275	115542369	115539749	115559991	115553535	115544233	115540240	115539848
115546473	115549179	115550492	115542391	115542894	115558707	115553886	115543420	115540274	115540576
115548053	115548346	115552506	115542318	115541415	115557222	115553352	115544207	115541067	115540548
115548007	115548344	115551964	115542093	115541482	115533637	115554198	115544387	115540395	115539749
115547168	115548699	115551963	115541317	115541451	115531086	115555429	115544462	115540137	115542523
115547513	115549615	115551958	115541781	115541463	115559607	115555907	115544491	115539717	115541843
115546794	115549367	115552316	115541785	115542459	115559619	115555774	115545418	115539906	115541672
115547887	115548958	115554656	115542988	115542463	115530313	115555053	115546108	115539905	115541362
115547241	115548967	115554413	115542206	115541843	115557316	115557252	115546105	115540789	115543023
115547221	115550568	115553535	115544233	115543153	115538238	115557470	115545791	115540073	115541388
115549708	115551375	115554166	115543899	115543048	115539849	115557405	115546171	115540157	115541703
115549700	115551514	115555472	115544312	115543046	115540274	115557620	115544981	115539990	115543123
115548195	115550694	115556254	115543881	115541808	115540760	115556616	115545693	115540528	115542396
115548296	115551919	115555053	115544531	115541362	115541134	115558833	115545454	115540550	115543565
115548420	115552160	115555323	115544325	115542044	115541012	115558442	115546182	115542913	115544204
115548421	115552483	115557252	115544568	115541397	115540137	115558805	115546826	115542915	115544219
115549158	115551968	115557363	115543420	115541644	115540646	115558235	115547759	115542919	115544376
115549132	115552268	115557470	115544207	115543013	115539717	115558672	115547401	115541499	115544374
115549614	115551857	115557494	115544032	115541703	115540789	115558182	115547695	115541492	115544375
115549052	115552921	115556616	115544491	115541581	115539919	115558951	115546627	115542663	115543542
115551240	115552781	115558442	115545554	115543123	115539689	115559542	115547586	115541288	115543825
115550338	115552607	115559155	115545124	115542396	115540116	115560312	115547950	115541283	115543831
115551061	115554452	115558271	115546108	115542641	115540114	115559737	115547499	115542449	115545498
115550306	115553803	115558951	115545768	115542123	115540622	115528947	115546905	115541906	115546163
115550882	115553411	115559542	115545771	115541404	115540073	115528849	115546638	115542602	115546007
115550997	115553330	115560312	115546110	115544204	115539958	115561140	115548244	115542731	115545802
115551261	115553848	115528947	115545774	115544219	115540157	115529966	115548643	115541588	115546187
115551699	115554061	115561140	115546105	115544251	115540492	115529580	115549158	115542887	115545724
115551490	115554413	115560891	115545254	115544376	115539990	115529573	115549208	115542949	115545937
115552242	115554514	115560838	115545447	115544332	115539989	115530696	115549269	115541867	115545178
115551964	115555718	115529966	115546171	115544399	115540526	115531282	115548506	115541818	115545618
115552116	115556255	115529820	115545954	115543638	115540528	115531353	115549396	115542370	115545213
115552020	115555398	115529140	115545237	115545498	115540550	115532146	115549327	115542359	115545855
115554913	115555045	115529580	115545461	115545767	115540861	115532088	115548167	115542407	115546131
115553828	115555323	115529582	115546781	115545632	115540100	115532315	115550749	115542289	115545089
115554216	115556562	115529578	115546826	115546163	115540195	115532423	115550338	115541733	115545090
