Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:Reverse transcriptase	14	4.964539007092199	4.508692922137614E-13	P0CT39, Q95SX7, P04323, P21328, O00370, P20825, P14381, P0CT40	277	28	8911	16.08483754512635	2.6510660333656233E-10	2.651111438216917E-10	2.6015158160734033E-10
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	14	4.964539007092199	4.76081208607211E-13	P0CT39, Q95SX7, P04323, P21328, O00370, P20825, P14381, P0CT40	280	28	8971	16.01964285714286	6.66489086142974E-10	6.665136920500954E-10	6.593724739209873E-10
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	13	4.609929078014184	1.243422992258768E-12	P0CT39, Q95SX7, P04323, P21328, O00370, P20825, P0CT40	254	24	8126	17.329068241469816	6.092903959142859E-10	6.092772662067962E-10	6.043035742377612E-10
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	13	4.609929078014184	1.3484789263685147E-12	P0CT39, Q95SX7, P04323, P21328, O00370, P20825, P0CT40	174	25	5766	17.231724137931035	9.034795134255091E-11	9.034808806669048E-11	7.551481987663683E-11
UP_SEQ_FEATURE	ACT_SITE:For protease activity	10	3.546099290780142	1.0181345724797834E-10	P0CT39, P04323, P20825, P0CT40	280	15	8971	21.359523809523807	1.4253881508441424E-7	7.126942007358484E-8	7.0505819144225E-8
INTERPRO	IPR024648:Peptidase A2E, retrotransposon	8	2.8368794326241136	2.811148311304265E-9	P0CT39, P0CT40	277	10	8911	25.73574007220217	1.6529538449105985E-6	8.26477603523454E-7	8.110162878112805E-7
GOTERM_BP_DIRECT	GO:0015074~DNA integration	11	3.900709219858156	3.2882779399865E-9	P0CT39, P04323, P03934, P20825, P0CT40	247	28	8374	13.318970503181028	4.478624591519598E-6	4.478634554261613E-6	4.468769720441654E-6
UP_KW_PTM	KW-0325~Glycoprotein	101	35.815602836879435	4.186421518099472E-9	P49263, Q5DRB1, Q62645, A2AV25, Q96H15, Q3SXY7, Q5DRB8, Q91120, P16065, P35384, Q5R4N8, Q63ZI0, P22458, Q5DRC0, P98160, Q16352, Q6MZM0, Q6PRD1, Q1L867, Q5DRC1, Q9UGM3, P60901, Q61603, P32418, O95206, Q8BZ39, P12027, P19221, P30873, Q2KIG3, Q80Z19, Q9QYE7, P25155, Q8BYI9, Q63273, Q3T004, Q8BGE9, P15589, Q61772, Q9Y2I2, O08966, Q80UG2, O08852, Q2HXW4, O88278, P47971, Q8JIR8, Q9N2D9, O19477, Q2KI97, Q76LX8, P35906, Q61704, Q5DRA3, Q6UWM7, Q10836, Q86Y34, Q29RY7, Q24K15, P13731, Q9W7R4, P31422, Q91175, A5PMF6, Q9P2E7, Q8IVU1, A6NE02, Q99572, Q9Y5I4, Q9QYX7, Q6PFX6, O88536, P02767, P43233, P05099, Q91ZW9, P98088, P70691, Q3U507, Q96L42, Q8C419, Q96JQ0, Q3UZZ4, Q9JIS7, P97280, O73700, Q5QQ37, Q8VCW4, Q9P273, Q80T02, Q28670, Q14C87, Q07496, Q5RB37, O75051, Q9NY28, Q8K099, Q62556, Q9JJ22, D4ACX8, Q9UL51	188	1965	5942	1.6245520004331113	1.004741121413133E-7	1.0466053795248679E-7	1.0466053795248679E-7
INTERPRO	IPR021109:Aspartic peptidase	10	3.546099290780142	4.888064428198466E-9	P0CT39, P04323, P20825, P0CT40	277	21	8911	15.318892900120336	2.874177742362427E-6	9.465988137460558E-7	9.288903325365208E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0229~DNA integration	9	3.1914893617021276	5.568739875561155E-9	P0CT39, P03934, P0CT40	148	17	5316	19.015898251192368	3.8981171901486533E-7	3.898117912892808E-7	3.7310557166259736E-7
