Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0273~Eye lens protein	23	2.3255813953488373	3.0724266028213133E-21	P05813, P28022, A2IBY8, P55344, Q13515, P56563, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q06637, P02506, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	663	26	8519	11.366573848474301	3.3796692631034444E-19	3.3796692631034444E-19	2.9188052726802475E-19
GOTERM_MF_DIRECT	GO:0005212~structural constituent of eye lens	23	2.3255813953488373	2.4441683700426402E-20	P05813, P28022, A2IBY8, P55344, Q13515, P56563, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q06637, P02506, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	888	28	11999	11.099461068211069	2.3683991505713182E-17	2.3683991505713182E-17	2.3317366250206788E-17
INTERPRO	IPR001064:Beta/gamma crystallin	17	1.7189079878665317	7.41507537579753E-18	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	951	17	13184	13.863301787592007	1.0158653264842616E-14	5.079326632421308E-15	4.9421477379690536E-15
INTERPRO	IPR011024:Gamma-crystallin-related	17	1.7189079878665317	7.41507537579753E-18	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	951	17	13184	13.863301787592007	1.0158653264842616E-14	5.079326632421308E-15	4.9421477379690536E-15
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 2	17	1.7189079878665317	1.0372362980247712E-17	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	974	17	13224	13.57700205338809	3.417693601991621E-14	1.1392312006638736E-14	1.1274758559529262E-14
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 4	17	1.7189079878665317	1.0372362980247712E-17	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	974	17	13224	13.57700205338809	3.417693601991621E-14	1.1392312006638736E-14	1.1274758559529262E-14
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 3	17	1.7189079878665317	1.0372362980247712E-17	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	974	17	13224	13.57700205338809	3.417693601991621E-14	1.1392312006638736E-14	1.1274758559529262E-14
UP_SEQ_FEATURE	REGION:Connecting peptide	19	1.9211324570273005	7.975733837801925E-17	O19477, P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P15120, P02529, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530, Q9BD50	974	23	13224	11.215784304972772	3.658184866139891E-13	6.570010748889335E-14	6.50221701126802E-14
SMART	SM00247:XTALbg	17	1.7189079878665317	8.407800173109024E-17	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646, P02530	633	17	7503	11.85308056872038	3.519406988061746E-14	2.6652726548755608E-14	2.6148258538369067E-14
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 1	16	1.6177957532861478	1.345923323037253E-16	P05813, P28022, P55165, P10043, P10044, Q007T1, Q05714, P02529, Q6DGY7, P55164, P02525, P02524, P02522, P62697, P48649, P48646	974	16	13224	13.57700205338809	3.658184866139891E-13	8.869634698815497E-14	8.778111912848965E-14
