Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	61	21.03448275862069	3.0145764545815475E-14	Q7SXW0, F1R4U0, Q5RFA3, Q8N5M1, Q7ZUH5, P55781, Q9WTP7, O00264, Q90YI3, Q3ZBE6, Q28DE0, Q9JLR9, Q9NUQ2, Q5RF14, Q56A55, Q7ZV60, P36551, Q9HBH1, Q0P4F7, Q9NUQ9, P00348, Q8JZU0, P82916, Q66L49, Q2TBR2, Q99551, Q2HJ98, Q6DGV7, P23633, Q9Z2Z6, P83565, Q7TMV3, Q68G58, Q9BSF4, Q5MB13, Q9Y3B8, Q4JF29, Q5REY8, B0VYY5, Q6GLL2, Q8VE22, Q9BUV8, A9UMS3, O75521, P57105, Q0VC74, Q9HC38, Q5ZIJ2, Q9NRA0, Q5ZIW1, Q0VC80, Q6J329, Q7ZW00, Q2KJC9, Q9BSY4, P20821, Q6DCP1, P55780, Q9NPB1, Q803G5, Q05B51	249	1018	12092	2.9099186530010024	1.0871303857129533E-12	1.085247523649357E-12	9.948102300119108E-13
UP_KW_CELLULAR_COMPONENT	KW-0256~Endoplasmic reticulum	54	18.620689655172416	2.744400059628267E-10	A1A5Z0, Q9H9S5, Q6NV04, O00264, P54855, Q9NUQ2, Q5F334, P42867, Q5E965, O35166, Q9Y394, Q5T4D3, Q5ZIT5, Q8N3Y7, Q5R548, Q3S8M4, Q9Y673, P70691, P33947, Q6NYP0, Q6IE75, Q9DBG7, Q96G23, Q52NJ2, Q66L58, A1L243, Q52KL1, Q8K2W3, P51122, Q8BGR2, F1QF89, Q2L6L1, O00400, Q9Y6A2, Q6DHU1, Q6P5P5, Q9UBQ6, Q9JI99, Q0P5B7, Q9NRA0, P24456, P80513, O15155, Q66HX0, O75795, Q5BL33, O35217, Q32NI8, Q925U4, Q9BY78, Q6DG38, O14975, Q6DHR8, A1A5V7	249	1034	12092	2.5361329262892967	9.87984094535932E-9	4.939920107330881E-9	4.528260098386641E-9
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	53	18.275862068965516	4.775262722935942E-9	Q7SXW0, F1R4U0, Q5RFA3, Q8N5M1, Q7ZUH5, Q9WTP7, Q3ZBE6, Q28DE0, Q9JLR9, Q9NUQ2, Q5RF14, Q56A55, Q7ZV60, P36551, Q9HBH1, Q0P4F7, Q9NUQ9, P00348, Q8CFV9, Q8JZU0, Q66L49, P54823, Q99551, Q2HJ98, Q6DGV7, Q9Z2Z6, P83565, Q7TMV3, Q68G58, Q5MB13, Q9Y3B8, Q4JF29, Q5REY8, Q6YP21, Q8VE22, A9UMS3, O75521, P57105, Q0VC74, Q9HC38, Q9NRA0, P24456, Q5ZIW1, Q0VC80, Q6J329, Q7ZW00, Q2KJC9, Q9BSY4, P20821, O55125, Q5CZQ0, Q9NPB1, Q803G5	270	1071	12988	2.380482069370958	1.3227469075616227E-6	1.322747774253256E-6	1.3084219860844483E-6
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	40	13.793103448275861	4.014128028649672E-8	Q8BGR2, A1A5Z0, Q6NV04, F1QF89, O00400, P54855, Q9NUQ2, Q5F334, P42867, Q9Y6A2, Q5E965, O35166, Q9Y394, Q6P5P5, Q9UBQ6, Q5ZIT5, Q9JI99, Q0P5B7, Q8N3Y7, P24456, Q3S8M4, P70691, O15155, Q9Y673, P33947, Q6NYP0, O75795, Q5BL33, Q7ZW02, Q9DBG7, Q96G23, Q32NI8, Q52KL1, Q8K2W3, Q29I63, Q9BY78, Q6DG38, O14975, Q6DHR8, A1A5V7	270	727	12988	2.6466962147842477	1.1119073048848627E-5	5.5595673196797954E-6	5.49935539925005E-6
UP_KW_DOMAIN	KW-0809~Transit peptide	30	10.344827586206897	1.986682960225913E-7	B0VYY5, F1R4U0, Q5RFA3, Q8N5M1, Q7ZUH5, O75521, Q90YI3, Q28DE0, Q0VC74, Q5RF14, Q56A55, P36551, Q0P4F7, Q9HBH1, P00348, Q5ZIW1, Q0VC80, Q8JZU0, Q2KJC9, Q2TBR2, P20821, Q99551, Q2HJ98, P83565, Q9NPB1, Q7TMV3, Q9BSF4, Q9Y3B8, Q05B51, Q5REY8	195	489	9474	2.980651250589901	3.973358421616169E-6	3.973365920451826E-6	3.973365920451826E-6
UP_SEQ_FEATURE	TRANSIT:Mitochondrion	30	10.344827586206897	2.554611747442848E-7	B0VYY5, F1R4U0, Q5RFA3, Q8N5M1, Q7ZUH5, O75521, Q90YI3, Q28DE0, Q0VC74, Q5RF14, Q56A55, P36551, Q0P4F7, Q9HBH1, P00348, Q5ZIW1, Q0VC80, Q8JZU0, Q2KJC9, Q2TBR2, P20821, Q99551, Q2HJ98, P83565, Q9NPB1, Q7TMV3, Q9BSF4, Q9Y3B8, Q05B51, Q5REY8	278	476	13206	2.993924188380388	1.5760714365464779E-4	1.576195448172237E-4	1.576195448172237E-4
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	44	15.172413793103448	4.5012413344028166E-7	P51122, Q8BGR2, A1A5Z0, Q9Z0L0, Q6NV04, Q9Y3E0, Q9Y6M5, O00264, F1QF89, Q2L6L1, Q5F334, P42867, Q9Y6A2, Q5E965, O35166, Q6P5P5, Q9UBQ6, Q5T4D3, Q9JI99, Q9NRA0, Q8N3Y7, Q12891, P24456, P80513, Q5R548, Q3S8M4, P70691, Q66HX0, P33947, Q6NYP0, Q8JHE9, Q5BL33, Q6IE75, Q9DBG7, Q96G23, Q52NJ2, A1L243, Q925U4, Q52KL1, Q8K2W3, Q6DG38, O14975, Q6DHR8, A1A5V7	270	926	12988	2.285705143588513	1.2467664023818603E-4	4.156146165431934E-5	4.111133752087906E-5
UP_KW_DOMAIN	KW-0812~Transmembrane	111	38.275862068965516	4.884997413700008E-7	F1R4U0, Q9BU79, P55781, Q6NV04, O00264, P54855, Q6DE40, P42867, Q5E965, Q9Y673, Q6NYP0, Q66L49, Q8BGW2, Q6IE75, Q9GKT2, Q5MB13, Q3B7D3, Q9BUV8, F1QF89, Q5BJW3, P57105, Q9N126, Q9Y6I8, Q9Y6A2, Q6DC66, Q6P5P5, Q0P5B7, Q13145, A0PJX8, P24456, Q62876, O15155, O15431, Q5HZE2, A1L2F6, Q7ZW02, Q5BL33, Q28CF8, Q32NI8, Q96K37, Q6DCP1, Q925U4, Q29I63, O14975, Q4R379, A1A5V7, Q6DHR8, Q63ZU3, Q6DDG2, A1A5Z0, Q7SXW0, Q68F62, Q9H9S5, Q9Z0L0, Q9Y3E0, Q3ZBE6, O88819, Q9JLR9, Q9NUQ2, Q5F334, Q56A55, P36551, Q7ZV60, O35166, Q5T4D3, Q8N3Y7, Q3S8M4, Q9D8T0, P70691, P33947, Q96BI1, Q8JHE9, Q29238, O60779, Q96G23, Q9YHX4, Q6DGV7, Q9PWH2, P23633, Q9Z2Z6, Q52KL1, Q8K2W3, Q8VCX2, Q9BSF4, Q8BGR2, Q6GLL2, Q8N6U8, Q9Y6M5, Q8WTV0, O00400, P57788, Q6ZM51, Q6DHU1, Q9UBQ6, Q9JI99, Q6NRS2, Q6GLE1, Q66HX0, Q6J329, Q5RDY2, O75795, A2AJN7, L0R6Q1, Q5R5C9, Q9HD45, P55780, Q5CZQ0, Q6DHN0, Q9BY78, Q803G5, Q6DG38	195	3715	9474	1.4516533802671083	9.769949486537755E-6	4.383913842622366E-6	4.383913842622366E-6
UP_KW_DOMAIN	KW-1133~Transmembrane helix	110	37.93103448275862	6.575870763933548E-7	F1R4U0, Q9BU79, P55781, Q6NV04, O00264, P54855, Q6DE40, P42867, Q5E965, Q9Y673, Q6NYP0, Q66L49, Q8BGW2, Q6IE75, Q9GKT2, Q5MB13, Q3B7D3, Q9BUV8, F1QF89, Q5BJW3, P57105, Q9N126, Q9Y6I8, Q9Y6A2, Q6DC66, Q6P5P5, Q0P5B7, Q13145, A0PJX8, P24456, Q62876, O15155, O15431, Q5HZE2, A1L2F6, Q7ZW02, Q5BL33, Q28CF8, Q32NI8, Q96K37, Q6DCP1, Q925U4, Q29I63, O14975, Q4R379, A1A5V7, Q6DHR8, Q63ZU3, Q6DDG2, A1A5Z0, Q7SXW0, Q68F62, Q9H9S5, Q9Z0L0, Q9Y3E0, Q3ZBE6, O88819, Q9JLR9, Q9NUQ2, Q5F334, Q56A55, P36551, Q7ZV60, O35166, Q5T4D3, Q8N3Y7, Q3S8M4, Q9D8T0, P70691, P33947, Q96BI1, Q8JHE9, Q29238, O60779, Q96G23, Q9YHX4, Q6DGV7, Q9PWH2, P23633, Q9Z2Z6, Q52KL1, Q8K2W3, Q8VCX2, Q9BSF4, Q8BGR2, Q6GLL2, Q8N6U8, Q9Y6M5, Q8WTV0, O00400, P57788, Q6ZM51, Q6DHU1, Q9UBQ6, Q9JI99, Q6NRS2, Q6GLE1, Q66HX0, Q6J329, Q5RDY2, O75795, A2AJN7, L0R6Q1, Q5R5C9, Q9HD45, P55780, Q5CZQ0, Q6DHN0, Q9BY78, Q6DG38	195	3687	9474	1.4495003233815276	1.315165936732754E-5	4.383913842622366E-6	4.383913842622366E-6
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	104	35.86206896551724	3.383724290304615E-6	F1R4U0, Q9BU79, P55781, Q6NV04, O00264, P54855, Q6DE40, P42867, Q5E965, Q9Y673, Q6NYP0, Q66L49, Q8BGW2, Q6IE75, Q9GKT2, Q5MB13, Q3B7D3, Q9BUV8, F1QF89, P57105, Q9N126, Q9Y6I8, Q9Y6A2, Q6DC66, Q6P5P5, Q0P5B7, Q13145, A0PJX8, P24456, Q62876, O15431, Q5HZE2, A1L2F6, Q7ZW02, Q5BL33, Q28CF8, Q32NI8, Q96K37, Q925U4, Q29I63, O14975, A1A5V7, Q6DHR8, Q63ZU3, Q6DDG2, A1A5Z0, Q7SXW0, Q68F62, Q9H9S5, Q9Z0L0, Q9Y3E0, Q3ZBE6, O88819, Q9JLR9, Q9NUQ2, Q5F334, Q56A55, P36551, Q7ZV60, O35166, Q5T4D3, Q8N3Y7, Q3S8M4, Q9D8T0, P70691, P33947, Q96BI1, Q8JHE9, O60779, Q96G23, Q9YHX4, Q6DGV7, Q9PWH2, P23633, Q9Z2Z6, Q52KL1, Q8K2W3, Q8VCX2, Q9BSF4, Q8BGR2, Q6GLL2, Q8N6U8, Q9Y6M5, Q8WTV0, O00400, Q6ZM51, Q6DHU1, Q9UBQ6, Q9JI99, Q6NRS2, Q66HX0, Q6J329, Q5RDY2, O75795, A2AJN7, L0R6Q1, Q5R5C9, Q9HD45, P55780, Q5CZQ0, Q6DHN0, Q9BY78, Q803G5, Q6DG38	270	3345	12988	1.4956009522227758	9.368540921113055E-4	2.343229071035946E-4	2.3178511388586613E-4
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	21	7.241379310344828	6.177797478982982E-6	Q7SXW0, F1R4U0, Q8VE22, P82916, Q6J329, A9UMS3, Q7ZW00, Q66L49, Q9JLR9, Q2TBR2, Q56A55, Q6DCP1, Q7ZV60, P36551, O55125, Q6DGV7, P55780, Q9Z2Z6, Q9NRA0, Q68G58, Q9BSF4	270	307	12988	3.290481360839667	0.0017097918252781952	3.422499803356572E-4	3.3854330184826737E-4
UP_SEQ_FEATURE	TRANSMEM:Helical	102	35.172413793103445	8.878918429365216E-6	F1R4U0, Q9BU79, P55781, Q6NV04, O00264, P54855, P42867, Q5E965, Q6NYP0, Q8BGW2, Q6IE75, Q9GKT2, Q5MB13, Q3B7D3, Q9BUV8, F1QF89, Q5BJW3, P57105, Q9N126, Q9Y6I8, Q9Y6A2, Q6DC66, Q6P5P5, Q0P5B7, Q13145, A0PJX8, P24456, Q62876, O15155, O15431, A1L2F6, Q7ZW02, Q5BL33, Q28CF8, Q32NI8, Q96K37, Q6DCP1, Q925U4, Q29I63, O14975, Q4R379, A1A5V7, Q63ZU3, Q6DDG2, A1A5Z0, Q7SXW0, Q68F62, Q9H9S5, Q9Z0L0, Q9Y3E0, Q3ZBE6, O88819, Q9JLR9, Q9NUQ2, Q5F334, Q56A55, P36551, Q7ZV60, O35166, Q5T4D3, Q8N3Y7, Q3S8M4, Q9D8T0, P70691, P33947, Q96BI1, O60779, Q96G23, Q9YHX4, Q6DGV7, Q9PWH2, P23633, Q9Z2Z6, Q52KL1, Q8K2W3, Q8VCX2, Q9BSF4, Q8BGR2, Q6GLL2, Q8N6U8, Q9Y6M5, Q8WTV0, O00400, P57788, Q6ZM51, Q6DHU1, Q9UBQ6, Q9JI99, Q6NRS2, Q6GLE1, Q66HX0, Q5RDY2, O75795, A2AJN7, L0R6Q1, Q5R5C9, Q9HD45, P55780, Q5CZQ0, Q6DHN0, Q9BY78, Q6DG38	278	3278	13206	1.4781473174114765	0.005463338378209781	0.002739146335459169	0.002739146335459169
UP_KW_CELLULAR_COMPONENT	KW-0999~Mitochondrion inner membrane	18	6.206896551724138	3.778752636200621E-5	B0VYY5, Q7SXW0, F1R4U0, Q9BUV8, Q6J329, A9UMS3, Q7ZW00, Q66L49, Q9JLR9, Q56A55, Q6DCP1, Q7ZV60, Q6DGV7, P55780, P23633, Q9Z2Z6, Q9NRA0, Q9BSF4	249	268	12092	3.2616435892825026	0.001359451758957908	4.534503163440745E-4	4.156627899820683E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	55	18.96551724137931	1.0253874098026819E-4	Q7SXW0, F1R4U0, P55781, Q9Z1J8, Q9Y3E0, Q5U247, Q9JLR9, Q56A55, Q5E965, A0A2Y9HKB5, Q5ZL57, O35166, P84104, Q5ZIT5, Q5ZL55, P26990, Q5R548, P33947, Q96BI1, Q66L49, Q29238, Q7ZV03, O60779, O19094, P14373, Q52NJ2, P23633, Q9Z2Z6, Q8VCX2, Q9BSF4, Q5MB13, Q64008, Q3B7D3, Q8BGR2, Q5TZ80, Q9Y6M5, O00400, P57788, Q6DHU1, Q7ZWB2, P83436, O15155, Q66HX0, O15431, Q6J329, Q5HZE2, A2AJN7, L0R6Q1, Q6DCP1, Q96K37, P55780, C0H859, O14975, A1A5V7, Q05B51	146	1820	7799	1.614274424205931	0.008373354408664269	0.008408176760381992	0.008305638019401724
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	137	47.241379310344826	6.697376326393773E-4	Q91WN1, F1R4U0, Q9BU79, P55781, Q6NV04, O00264, P54855, Q6DE40, P42867, Q5E965, Q5ZL57, P87378, Q9Y394, Q5ZL55, Q9Y673, Q6NYP0, Q62419, Q66L49, Q8BGW2, Q7ZV03, Q6IE75, Q66L58, Q9GKT2, Q5MB13, Q3B7D3, Q64008, B0VYY5, Q9BUV8, F1QF89, Q5BJW3, P57105, Q9N126, Q9Y6I8, Q9Y6A2, Q6DC66, Q6P5P5, Q9NRA0, Q0P5B7, P27601, Q13145, A0PJX8, P24456, P80236, Q62876, O15155, O15431, Q5HZE2, A1L2F6, Q7ZW00, Q7ZW02, Q8AXQ3, Q5BL33, Q28CF8, Q32NI8, Q96K37, Q6DCP1, Q925U4, Q29I63, O14975, Q4R379, A1A5V7, Q6DHR8, Q63ZU3, Q6DDG2, A1A5Z0, Q7SXW0, Q68F62, Q9H9S5, Q9Z0L0, Q9Y3E0, Q3ZBE6, O88819, Q9JLR9, Q9NUQ2, Q5F334, Q56A55, P36551, Q7ZV60, O35166, Q9NUQ9, Q5ZIT5, Q5T4D3, Q8N3Y7, P26990, Q3S8M4, Q9D8T0, P70691, P33947, Q96BI1, Q8JHE9, Q29238, Q9DBG7, O60779, Q96G23, Q52NJ2, Q9YHX4, Q6DGV7, Q9PWH2, P23633, Q9Z2Z6, Q52KL1, Q8K2W3, Q8VCX2, Q9BSF4, Q8BGR2, Q6GLL2, Q8N6U8, A9UMS3, Q9Y6M5, Q8WTV0, O00400, P57788, Q6ZM51, Q6DHU1, Q9UBQ6, Q9JI99, P83436, Q12891, Q6NRS2, Q0VC80, Q6GLE1, Q66HX0, Q6J329, Q5RDY2, O75795, A2AJN7, P62071, L0R6Q1, Q5R5C9, Q9HD45, P55780, Q5CZQ0, Q6DHN0, Q9BY78, Q803G5, Q6DG38	249	5391	12092	1.234099074837655	0.023830102347393356	0.006027638693754396	0.005525335469274863
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	23	7.931034482758621	0.0013817639072125976	Q6GLL2, Q3S8M4, Q6NV04, O75795, Q7ZW00, Q7ZW02, P54855, O19094, Q96G23, O88819, Q9EPR2, Q9N126, Q9NUQ2, Q32NI8, Q9Y6A2, Q0P4F7, P00348, Q52KL1, Q9JI99, Q0P5B7, Q9NRA0, Q6DG38, O14975	146	595	7799	2.064890065615287	0.10719134457651625	0.056652320195716505	0.0559614382421102
GOTERM_BP_DIRECT	GO:0008210~estrogen metabolic process	4	1.3793103448275863	0.0016590130548735102	P70691, O75795, P54855, P24456	253	12	12225	16.10671936758893	0.8374008762097734	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0492~Microsome	8	2.7586206896551726	0.0017774896892791	Q5F334, Q9Y6A2, P70691, Q66L58, O00264, Q0P5B7, O14975, P24456	249	85	12092	4.570564611386723	0.06203867929455065	0.01279792576280952	0.01173143194924206
KEGG_PATHWAY	hsa01240:Biosynthesis of cofactors	5	1.7241379310344827	0.003863797977248148	P36551, O75795, Q9HAB8, Q8N3Y7, P54855	126	29	5510	7.5396825396825395	0.7923165807499682	0.8634167225394324	0.8634167225394324
GOTERM_BP_DIRECT	GO:0052695~cellular glucuronidation	3	1.0344827586206897	0.0040621355801988696	P70691, O75795, P54855	253	5	12225	28.992094861660078	0.9883567289706898	1.0	1.0
