Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	8	50.0	5.940491259854161E-5	P15651, Q60587, A6QP15, Q921G7, F1QCN0, Q3SZB4, A3KMV5, Q5ZIR1	15	1019	12104	6.335099771017337	8.313477188042206E-4	8.316687763795826E-4	8.316687763795826E-4
GOTERM_BP_DIRECT	GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	3	18.75	6.57726757648583E-5	P15651, Q921G7, Q3SZB4	15	11	12301	223.65454545454546	0.006686578246184238	0.0066430402522506884	0.0066430402522506884
UP_KW_DOMAIN	KW-0809~Transit peptide	6	37.5	1.2459247700268258E-4	P15651, Q60587, A6QP15, Q921G7, F1QCN0, Q3SZB4	12	487	9488	9.741273100616016	0.0011207736171853222	0.0011213322930241432	0.0011213322930241432
UP_SEQ_FEATURE	TRANSIT:Mitochondrion	6	37.5	1.2781825602932418E-4	P15651, Q60587, A6QP15, Q921G7, F1QCN0, Q3SZB4	16	473	13224	10.484143763213531	0.008147518807375742	0.008180368385876748	0.008180368385876748
UP_KW_BIOLOGICAL_PROCESS	KW-0276~Fatty acid metabolism	4	25.0	4.541226616368073E-4	P15651, Q60587, Q3SZB4, Q8VCC1	11	126	7803	22.51948051948052	0.005435881514302188	0.005449471939641687	0.005449471939641687
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	7	43.75	6.135159387413978E-4	P15651, Q60587, A6QP15, Q921G7, F1QCN0, Q3SZB4, A3KMV5	15	1105	13005	5.492307692307692	0.026044127021619734	0.026381185365880105	0.026381185365880105
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	3	18.75	8.260605582730693E-4	P15651, Q60587, Q3SZB4	15	38	12301	64.7421052631579	0.08083809531828534	0.04171605819279	0.04171605819279
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	5	31.25	0.004815971716223676	P15651, Q60587, A6QP15, Q3SZB4, Q8VCC1	11	594	7803	5.971074380165289	0.056285193759230356	0.028895830297342058	0.028895830297342058
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	5	31.25	0.005637423206594693	P15651, A6QP15, Q921G7, Q3SZB4, Q8VCC1	14	504	8519	6.036706349206349	0.06559048261900824	0.06764907847913632	0.06764907847913632
GOTERM_CC_DIRECT	GO:0031966~mitochondrial membrane	3	18.75	0.005931110492394847	P15651, Q921G7, Q3SZB4	15	109	13005	23.862385321100916	0.22570092921346951	0.12751887558648922	0.12751887558648922
GOTERM_BP_DIRECT	GO:0006144~purine nucleobase metabolic process	2	12.5	0.0068106932224366555	P02767, A1L259	15	6	12301	273.35555555555555	0.5019561570138725	0.22929333848870073	0.22929333848870073
GOTERM_MF_DIRECT	GO:0016757~transferase activity, transferring glycosyl groups	3	18.75	0.0070527076247864535	Q9BRR3, P27808, P70312	15	110	11999	21.81636363636364	0.2880370355807681	0.30636191663394563	0.30636191663394563
UP_KW_LIGAND	KW-0274~FAD	3	18.75	0.007442817587541126	P15651, Q921G7, Q3SZB4	8	107	5479	19.20210280373832	0.09255152949502443	0.059456096031357375	0.059456096031357375
INTERPRO	IPR006089:Acyl-CoA dehydrogenase, conserved site	2	12.5	0.009067834505881896	P15651, Q3SZB4	13	10	13184	202.83076923076925	0.292593283144577	0.08947821889207264	0.08947821889207264
UP_KW_LIGAND	KW-0285~Flavoprotein	3	18.75	0.009147091697131904	P15651, Q921G7, Q3SZB4	8	119	5479	17.26575630252101	0.1125999483001191	0.059456096031357375	0.059456096031357375
INTERPRO	IPR013786:Acyl-CoA dehydrogenase/oxidase, N-terminal	2	12.5	0.009970459827408013	P15651, Q3SZB4	13	11	13184	184.3916083916084	0.31667105271011897	0.08947821889207264	0.08947821889207264
INTERPRO	IPR009075:Acyl-CoA dehydrogenase/oxidase C-terminal	2	12.5	0.01087233141951729	P15651, Q3SZB4	13	12	13184	169.02564102564102	0.339931031154181	0.08947821889207264	0.08947821889207264
INTERPRO	IPR009100:Acyl-CoA dehydrogenase/oxidase	2	12.5	0.011773449854220084	P15651, Q3SZB4	13	13	13184	156.02366863905326	0.3624009354252937	0.08947821889207264	0.08947821889207264
INTERPRO	IPR006091:Acyl-CoA oxidase/dehydrogenase, central domain	2	12.5	0.011773449854220084	P15651, Q3SZB4	13	13	13184	156.02366863905326	0.3624009354252937	0.08947821889207264	0.08947821889207264
GOTERM_MF_DIRECT	GO:0003995~acyl-CoA dehydrogenase activity	2	12.5	0.012765079859747733	P15651, Q3SZB4	15	11	11999	145.44242424242424	0.4602602338222599	0.30636191663394563	0.30636191663394563
KEGG_PATHWAY	rno00071:Fatty acid degradation	2	12.5	0.014583829542331127	P15651, Q60587	10	9	5522	122.71111111111111	0.5607595360099323	0.30226049198029864	0.30226049198029864
KEGG_PATHWAY	rno00280:Valine, leucine and isoleucine degradation	2	12.5	0.016192526356087426	P15651, Q60587	10	10	5522	110.44000000000001	0.5991641329594242	0.30226049198029864	0.30226049198029864
KEGG_PATHWAY	rno01212:Fatty acid metabolism	2	12.5	0.016192526356087426	P15651, Q60587	10	10	5522	110.44000000000001	0.5991641329594242	0.30226049198029864	0.30226049198029864
