Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	36	22.36024844720497	1.4894702543538962E-16	Q8IY81, Q9EQM6, Q5XG71, Q6NX08, Q8K4L0, Q6AXX4, Q3T0Q8, Q9NY61, Q9D1Q1, Q1ED39, Q4KLI2, Q2YDF1, Q8VEJ4, Q7SY48, P20397, Q28E61, Q2KIJ2, Q969X6, P25685, Q4KMD7, P07756, Q810V0, P46087, Q6DRP2, P79741, Q567G6, Q58D06, Q9NQ55, O57594, Q6DRL5, Q6PEH4, Q1JQD2, Q5E9N0, Q14146, Q2HJ56, Q15397	151	570	13014	5.443290345067968	1.9206858326015208E-14	2.5767835400322403E-14	2.5023100273145456E-14
UP_KW_BIOLOGICAL_PROCESS	KW-0690~Ribosome biogenesis	12	7.453416149068323	1.2699755447491154E-9	Q8IY81, Q6NX08, Q810V0, P46087, Q7SY48, P79741, Q5ZJH9, Q5E9N0, Q3T0Q8, Q969X6, Q5ZI74, Q2HJ56	95	76	7812	12.98393351800554	8.254840866417368E-8	8.25484104086925E-8	8.127843486394339E-8
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	13	8.074534161490684	2.4016439380362664E-9	Q6NX08, Q5XG71, Q810V0, Q8K4L0, P79741, Q7ZV20, Q3T0Q8, Q58D06, Q9NQ55, Q9D1Q1, Q7SY48, Q5E9N0, Q2HJ56	143	104	12321	10.770104895104895	1.7315837430587067E-6	1.2387768792049485E-6	1.2233136449291587E-6
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	8	4.968944099378882	3.4362742835088727E-9	Q14566, P49739, P55862, Q6DIH3, Q13415, Q5RHY1, P30664, O89033	143	22	12321	31.33121424030515	2.477550680279883E-6	1.2387768792049485E-6	1.2233136449291587E-6
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	81	50.31055900621118	8.556197748686867E-9	Q6NX08, Q14566, P55862, Q8K4L0, Q6AXX4, Q5F3X4, Q04202, Q9JIH2, Q04637, Q5ZM39, P38532, P49739, O35685, Q4KLI2, Q7SY48, Q5ZJN4, Q9BVI0, P20397, P48722, Q28E61, Q2KIJ2, Q969X6, P25685, Q71MM5, A6QLJ0, P07756, Q7ZU29, P51596, Q6DRP2, Q9UBC3, P79741, Q1RLU1, Q58D06, Q9NQ55, Q9I920, B0R160, Q8VI75, Q6DRL5, Q6R2W3, Q14146, Q08BS4, Q2HJ56, Q15397, Q8IY81, Q9EQM6, Q5XG71, Q13415, Q3T0Q8, Q7TQH0, P30664, A2AR02, Q5VV67, Q9D1Q1, Q9NY61, Q1ED39, Q5VWQ0, E7EZF3, Q9I9A7, Q8VEJ4, Q2YDF1, P41512, Q4KMD7, Q7TP47, Q810V0, Q6DIH3, P46087, Q5ZJH9, Q567G6, Q9NRZ9, O57594, P18754, Q6PEH4, Q8AV13, P18625, O54992, Q9BXJ9, Q567W6, Q1JQD2, Q5E9N0, Q5RHY1, O89033	141	4079	12124	1.7074898415861213	2.5668590064586994E-7	2.56685932460606E-7	2.56685932460606E-7
GOTERM_BP_DIRECT	GO:0006260~DNA replication	12	7.453416149068323	3.889400823086797E-8	Q14566, P49739, P55862, Q9I9A7, Q6DIH3, Q13415, Q1JQD2, Q5RHY1, Q9I920, B0R160, P30664, O89033	143	107	12321	9.662897849813739	2.8042187294241572E-5	9.347526644818603E-6	9.230844620125999E-6
GOTERM_CC_DIRECT	GO:0005694~chromosome	17	10.559006211180124	3.889484078001992E-8	Q8IY81, Q14566, P55862, Q810V0, Q6DIH3, Q9I920, B0R160, P30664, P18754, P38532, P49739, Q1JQD2, Q5E9N0, Q969X6, Q2HJ56, P41512, Q15397	151	255	13014	5.7456953642384105	6.728784949561195E-6	3.3644037274717232E-6	3.2671666255216734E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0698~rRNA processing	11	6.832298136645963	4.620679943149664E-8	Q8IY81, Q6NX08, Q5XG71, Q810V0, P46087, Q7SY48, P79741, Q5ZJH9, Q969X6, A4QP75, Q9D1Q1	95	83	7812	10.898161065313886	3.0034375192444784E-6	1.2628190496620682E-6	1.2433910642826517E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0235~DNA replication	11	6.832298136645963	5.82839561382493E-8	Q14566, P49739, P55862, Q9I9A7, Q6DIH3, Q13415, Q5RHY1, Q9I920, B0R160, P30664, O89033	95	85	7812	10.641733746130031	3.7884500810880795E-6	1.2628190496620682E-6	1.2433910642826517E-6
GOTERM_BP_DIRECT	GO:0030174~regulation of DNA-dependent DNA replication initiation	6	3.7267080745341614	2.2641050689672002E-7	Q14566, P49739, P55862, Q9I9A7, Q6DIH3, P30664	143	13	12321	39.76654115115654	1.6322867070417413E-4	4.0810493868133784E-5	4.030107022761616E-5
