Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	87	17.025440313111545	1.7136498609097554E-13	Q9MZE0, Q32P65, Q6DI06, O75947, O75746, Q32L67, Q8N5M1, Q7ZUH5, Q3ZBE1, Q8BTE0, A8KB87, Q9JLR9, A6NK06, Q58DV5, Q5RF16, Q1LXI5, P00348, Q8BT51, Q08DT6, Q32P59, P00025, P07756, Q8JZU0, P82916, P38718, Q9WV84, Q02373, P13437, Q9CQX2, Q6PCS6, D3Z7P3, Q2TBR2, P59041, P41320, Q5TM62, Q37080, Q000K2, Q5BJJ8, Q9Z2Z6, P83565, Q95KE5, Q9BSF4, Q5MB13, P0DPI2, A4QP75, Q497L9, P00375, Q6GLL2, A8WGU8, P36968, Q4RGM4, Q9BUR5, Q9Z0V8, Q9BUV8, Q3B7H2, Q5RFG0, O75521, Q9QY94, Q8C6I2, Q6IQC7, A5PL98, Q503J2, Q5ZIJ2, Q69BJ7, P23368, Q6DH87, Q6DH02, Q99NF1, Q90257, Q08297, Q28480, Q9CQJ1, Q7TMS5, Q9NZE8, P10620, Q9WU08, Q5XIH9, Q7ZW00, Q3T114, P55779, Q6PH61, Q9H773, Q9NWT8, Q28HC6, Q6GPY0, Q9JK81, Q05B51	445	1031	12124	2.2990398761974298	8.399503315104084E-12	8.396884318457801E-12	8.225519332366826E-12
GOTERM_CC_DIRECT	GO:0046540~U4/U6 x U5 tri-snRNP complex	14	2.73972602739726	1.2749552438311159E-11	P62309, O43447, Q5RCP3, P62321, Q7SXM7, Q5XH16, Q3TIX9, O43290, Q18786, Q9UK45, P62323, P83877, O35900, P62315	479	30	13014	12.678914405010438	5.1125812472463394E-9	5.112570527762775E-9	4.857579478996551E-9
UP_KW_CELLULAR_COMPONENT	KW-0747~Spliceosome	24	4.6966731898238745	4.425178239061566E-11	Q12874, Q9UMS4, P62309, O70454, Q568A0, O43447, Q5RBD4, B5DGI7, Q9D287, Q5RCP3, P62321, Q7SXM7, Q9BWJ5, Q5XH16, Q3TIX9, P83871, O43290, Q18786, Q9UK45, P62323, P08579, P83877, O35900, P62315	445	119	12124	5.49477858559154	2.1683393969240683E-9	1.0841686685700835E-9	1.0620427773747758E-9
GOTERM_CC_DIRECT	GO:0071005~U2-type precatalytic spliceosome	15	2.935420743639922	1.3849664061352078E-10	Q12874, P62309, Q5RCP3, P62321, Q7SXM7, Q9BWJ5, Q5XH16, P83871, O43290, Q9UK45, P62323, P08579, P83877, O35900, P62315	479	42	13014	9.70325082016105	5.553715853867658E-8	2.7768576443010916E-8	2.6383610036875706E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	24	4.6966731898238745	6.188981317673423E-10	Q12874, Q9UMS4, P62309, O70454, Q5R1W5, O43447, B5DGI7, Q9D287, Q8JGS0, Q5RCP3, P62321, Q7SXM7, Q9BWJ5, Q5XH16, Q3TIX9, P83871, O43290, Q8VDW0, Q9UK45, P62323, P08579, P83877, O35900, P62315	445	137	12321	4.850389567784794	9.066853862149671E-7	9.066857630391564E-7	9.048290686438544E-7
UP_KW_PTM	KW-0007~Acetylation	113	22.113502935420744	8.051972338897593E-10	P04114, O75947, Q09139, Q9WVL0, P62198, Q9Z2U1, Q08DT6, Q640C5, P61025, Q8VDW0, Q9UK45, P00025, P07756, Q6PC60, G1TGF1, Q99J36, O43447, P78417, P35249, E2R4X3, Q9BWJ5, Q000K2, Q32LC1, Q0P5A7, Q9CQK7, Q9QXK7, P0DPI2, P08579, P00375, Q64008, Q6YP21, Q8VCS6, Q5RFG0, O75521, Q5R6X7, Q91060, Q01105, P83871, P23368, Q9TTC6, P48788, Q2KIP8, Q9UMS4, Q6PCU2, Q9UPQ4, Q28480, Q9CQJ1, Q5RB83, Q8MKD5, Q5R1W5, P10620, Q3T114, O75352, Q9H773, P63074, Q25008, O55128, P08551, P20664, Q9JK81, O89110, Q9MZE0, Q9Z1N4, P26583, O75746, Q56JX9, Q3ZBE1, O70454, Q91YN9, Q9Y3E0, P51665, Q5ZKG5, Q9D287, Q9JLR9, Q5RCP3, Q5ZJN2, P61220, P00348, Q12874, P38718, Q63945, P05936, Q923G2, Q8BGS2, Q96J01, P13437, P35565, Q9CQX2, O73672, D3Z7P3, P68266, Q9Z2Z6, Q9Z210, Q9Y248, O70435, Q32P84, P22087, Q9H867, Q3T0M7, Q9R1P0, Q9QY94, Q62785, Q8VEK0, P48507, P84089, P68037, O75607, Q08297, P02264, Q5R5C9, Q00688, B0BN93	271	2186	8802	1.6789600375418212	1.690914197549631E-8	1.7714339145574703E-8	1.7714339145574703E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0508~mRNA splicing	33	6.457925636007827	1.0923078867621936E-9	Q9MZE0, O70454, Q9D287, Q5RCP3, B9ENE7, Q7SXM7, Q5XH16, P83871, Q8VDW0, Q9UK45, P83877, O35900, Q502P0, P62315, Q12874, Q3B7G7, Q9UMS4, P62309, Q5R1W5, Q96J01, Q568A0, O43447, Q5RBD4, B5DGI7, Q6DGZ3, P62321, Q9BWJ5, Q3TIX9, O43290, Q18786, O55128, P62323, P08579	291	256	7812	3.460534793814433	1.1906155528151885E-7	1.1906155965707911E-7	1.1032309656298155E-7
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	32	6.262230919765166	2.2772667318552044E-9	Q4R5C7, Q6PBV6, Q4RGM4, P22087, Q7ZUH5, Q5RCP3, Q58DV5, Q7SXM7, Q5XH16, Q1LXI5, Q5ZIJ2, Q6DH02, Q5RBX7, Q08DT6, Q9UK45, O35900, P62315, P82916, P62309, Q9NZE8, Q2TBR2, Q8JGS0, P62321, Q5TM62, Q9NWT8, Q5BJJ8, Q18786, P83565, Q95KE5, Q9QXK7, P62323, P08579	326	242	8527	3.458703037063327	1.7762678772292873E-7	1.7762680508470596E-7	1.6851773815728513E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	37	7.240704500978473	3.1646091166303814E-9	Q9MZE0, Q9DED5, O70454, Q9D287, Q5RCP3, B9ENE7, Q7SXM7, Q5XH16, P83871, Q8VDW0, Q9UK45, P83877, O35900, Q502P0, P62315, Q4KMD7, Q12874, Q3B7G7, Q9UMS4, P62309, Q9Y235, Q5R1W5, Q96J01, Q568A0, O43447, Q5RBD4, B5DGI7, Q6DGZ3, P62321, Q9BWJ5, Q3TIX9, O43290, Q18786, Q9QXK7, O55128, P62323, P08579	291	327	7812	3.037548472524354	3.4494233625004256E-7	1.724711968563558E-7	1.5981276038983427E-7
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	81	15.851272015655576	3.225462342226799E-9	Q32P65, Q6DI06, O75947, O75746, Q32L67, Q8N5M1, Q7ZUH5, Q8BTE0, Q99MS3, A8KB87, Q9WVL0, Q9JLR9, A6NK06, Q58DV5, Q5RF16, Q1LXI5, P00348, Q8BT51, Q32P59, P27105, Q91WM2, P07756, Q8JZU0, P38718, Q9WV84, P13437, Q9CQX2, Q6PCS6, D3Z7P3, P59041, P41320, Q5TM62, Q5BJJ8, Q9Z2Z6, P83565, Q9Z210, B0K019, Q5MB13, P0DPI2, Q497L9, P00375, Q6YP21, Q6GLL2, P36968, Q9BUR5, Q9Z0V8, Q3B7H2, Q5RFG0, O75521, Q9QY94, Q8C6I2, Q6IQC7, A5PL98, Q503J2, Q69BJ7, P23368, Q6DH87, Q6DH02, Q99NF1, Q90257, Q08297, Q4KMD7, Q28480, Q9CQJ1, A3KP48, Q7TMS5, Q9NZE8, P10620, Q5XIH9, Q7ZW00, Q6PBK1, Q3T114, Q6PH61, Q9H773, Q5ZJM7, Q9NWT8, Q28HC6, Q6GPY0, Q9JK81, Q6NSR3, O89110	479	1114	13014	1.9754912800830577	1.2934095646732757E-6	4.3113679974431545E-7	4.096337174628035E-7
