Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_PTM	KW-0007~Acetylation	255	24.926686217008797	1.1346260473637324E-24	P04114, Q60587, O75947, Q14566, Q28298, Q2TA40, Q9CR60, Q04637, A6QP15, Q5RF14, Q8BX13, Q9NRG1, P83299, Q9Z2U1, Q640C5, Q08DT6, Q91WV0, P61025, Q3SZM6, Q9UK45, Q06AT3, P07756, P27124, Q9CR58, Q9CQ36, Q6PC60, Q5RFB6, Q5R628, G1TGF1, O43447, Q99J36, P22907, Q6TJY3, E2R4X3, O60573, Q0P5A7, Q2HJ98, P63219, Q9QXK7, Q64008, Q6YP21, A0AVT1, Q3U186, P62255, Q91060, P83871, Q01105, Q498M4, Q4QQW4, Q2KIP8, Q3TDQ1, Q2KIR1, Q6PCU2, Q7TP47, Q5PQL2, Q9UPQ4, Q08094, Q5RB83, Q8MKD5, Q5R1W5, P68252, O55096, O75352, P21910, Q8C2Q3, Q25008, Q64380, Q6AYL5, Q8WSF1, Q13151, Q99LE6, Q15691, Q13395, Q9MZE0, Q62203, Q9Z1N4, Q6T5B7, P53042, O70454, Q8BG32, Q9Y3E0, P50579, P25093, P51665, Q5ZKG5, Q9D287, Q5RCP3, Q8UUW7, P62311, Q08639, O35685, P61220, Q6AY09, Q5I0E7, Q9D0D3, P84104, P00348, P62313, P50583, Q12874, P38718, Q8BGS2, Q96J01, P13437, Q9CQX2, Q9BW60, Q5R664, Q6UPE0, Q9Z210, Q9D826, Q6P3H7, O70435, Q96BP3, Q9Y365, Q9H867, Q3T0M7, P57784, Q9QY94, Q62785, Q9QUR6, P48507, Q5RA96, Q08297, P45592, Q99020, O75431, P52788, Q5RFD3, P53996, P22129, Q5R5C9, Q00688, B0BN93, P61258, Q9Y3Y2, P35816, Q9QXA5, Q2KIW6, P11845, Q8BH95, P82928, Q498C8, Q8IXU6, Q09139, Q8K3F3, Q9WVL0, Q9JIH2, P62198, Q03147, Q7T370, Q9MZ16, Q8VDW0, Q9JJ94, Q15024, Q8NB91, P60901, Q5R5Y2, P58389, P59235, P11974, P78417, Q96HQ2, P35249, Q9QZW9, Q4R4P3, Q9BWJ5, Q9CQK7, P0DPI2, Q9Y3B8, P08579, P00375, P11708, Q8VCS6, P08537, Q96DX5, Q13415, Q5RFG0, O75521, O00443, Q5R6X7, Q08DJ7, P11387, A4FUZ6, Q9TTC6, Q9D8F1, Q32LL2, Q9UMS4, Q28480, P10620, Q3T114, Q9H773, Q3ZCC9, Q99KK7, Q2KII6, P63074, O55128, Q5R4E2, P08551, P20664, Q9JK81, O89110, P26583, Q61753, Q5R8R5, P79398, P18163, Q3ZBE1, Q6AXX4, Q99L45, P52912, O00743, Q9UHB9, Q922V4, Q5ZJN2, Q2YDH1, Q9NRK6, Q6PHK6, Q15067, Q9DCA5, P51151, Q63945, Q923G2, O73672, Q1JP73, Q99315, P68266, Q9Z2Z6, F1LQ48, Q32P84, P22087, Q9R1P0, P52815, Q0VC74, Q8VEK0, P42125, P84089, P68037, Q8VEJ4, Q5F3J5, Q8K3X3, Q5R5J7, O75607, P02264, P97494, P81004, Q9JMA1, P28072, Q8BYL4, Q01134, P00637, Q5R9C5, Q5E9Z7, Q15650, Q4R333	586	2186	8802	1.7521600379704543	2.836565118409331E-23	2.950027723145704E-23	2.950027723145704E-23
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	159	15.542521994134898	7.22702987101948E-20	P35816, Q5TYQ3, Q60587, O75947, Q8BH95, P82928, Q7ZUH5, Q28DE0, A8KB87, Q5ZLN5, A6NK06, A6QP15, Q5RF14, Q5RF16, Q14296, Q08DT6, Q28E61, Q9MZ16, Q3SZM6, Q5ZI74, P27124, Q7ZTM6, P07756, Q9CR58, Q8JZU0, Q9CQL5, P82916, P97478, Q6TJY3, P54987, B5X5B4, Q7ZVZ6, Q5BJJ8, Q2HJ98, A8E7D3, P83565, Q5MB13, P0DPI2, Q9Y3B8, A4QP75, Q4JF29, P00375, Q501S4, P36968, Q9BUV8, Q96DX5, E7EXZ6, Q5RFG0, O75521, Q6PBR7, Q96ER9, Q8C6I2, Q6PBI8, Q3U186, Q6IQC7, Q32PL8, Q6DH87, Q6DH02, Q9NRA0, Q32LL2, Q90257, A4K2V0, Q28480, P10620, Q7ZW00, Q3T114, Q9H773, Q6DCP1, Q64380, Q9NWT8, Q5SUC9, Q6GPY0, Q9JK81, Q9MZE0, Q6DI06, Q32L67, Q8N5M1, Q5R8R5, Q9Y584, P18163, Q3ZBE1, Q90YI3, P13420, O00743, Q29R99, Q9NVS2, Q58DV5, Q5F339, P61222, Q1LXI5, Q9NRK6, Q9D0D3, P00348, Q8BT51, Q7T3C7, P56602, Q3ZBL5, P38718, Q9WV84, Q02373, P13437, Q9CQX2, Q6PCS6, Q920A7, Q2TBR2, Q6UPE0, P41320, Q5TM62, Q7SXN5, Q99551, Q8WV93, Q6DGV7, Q28F51, Q9Z2Z6, B0F9W3, Q95KE5, P28767, Q9BSF4, Q497L9, O88484, B9EMY6, Q6GLL2, A8WGU8, A4IHB9, Q5BJB7, Q4RGM4, Q9BUR5, Q8R5G2, A9UMS3, Q3B7H2, P52815, Q9QY94, Q6GQN8, Q0VC74, O43615, P42125, Q502L2, Q9HC38, Q5ZIJ2, Q0P4D6, Q5M7E3, Q5ZL72, Q99NF1, Q08297, P81004, Q6P825, Q7TMS5, Q9WU08, Q5XIH9, O75431, Q8BYL4, P11233, Q6PH19, Q9P0M9, Q3KRB8, Q28HC6, Q6NSN2, Q9NPB1, A1A4P4	904	1031	12124	2.068311545625434	4.263947623901493E-18	4.263947623901493E-18	3.75805553293013E-18
GOTERM_CC_DIRECT	GO:0046540~U4/U6 x U5 tri-snRNP complex	23	2.248289345063539	3.889003457616045E-19	Q2KIR1, Q9QXA5, P62309, Q5R628, Q5F3X4, O43447, Q96DI7, Q5RCP3, P62321, Q7SXM7, P62311, Q5XH16, Q3TIX9, P63164, O43290, Q18786, Q2KJJ0, Q9UK45, P62323, P83877, P62313, O35900, P62315	970	30	13014	10.285979381443298	2.2984010434510827E-16	2.2984010434510827E-16	2.1506189120616728E-16
UP_KW_CELLULAR_COMPONENT	KW-0747~Spliceosome	43	4.203323558162268	1.5570343781742635E-18	Q62203, Q9QXA5, Q96BP3, Q5ZHZ0, O70454, P57784, Q5F3X4, O42226, Q9D287, Q08DJ7, Q96DI7, Q5RCP3, Q7SXM7, P62311, Q1LVE8, Q922V4, Q5XH16, P83871, Q2KJJ0, Q9UK45, P83877, P62313, O35900, P62315, Q12874, Q9UMS4, Q2KIR1, Q5R723, Q7TP47, P62309, Q5R628, Q568A0, O43447, Q5RBD4, B5DGI7, P62321, Q9BWJ5, Q3TIX9, Q6AYL5, O43290, Q18786, P62323, P08579	904	119	12124	4.846173867777199	9.186502831228154E-17	4.593251415614077E-17	4.048289383253085E-17
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	45	4.398826979472141	1.5516302346411205E-17	Q62203, Q9QXA5, Q96BP3, Q5ZHZ0, O70454, P57784, Q5F3X4, Q9D287, Q96DI7, Q5RCP3, Q7SXM7, P62311, Q1LVE8, Q922V4, Q5XH16, P63164, P83871, P84104, Q2KJJ0, Q8VDW0, Q9UK45, P83877, P62313, O35900, P62315, Q12874, Q9UMS4, Q2KIR1, Q5R723, P62309, Q5R628, Q5R1W5, O43447, B5DGI7, Q8JGS0, P62321, Q9BWJ5, Q8C2Q3, Q3TIX9, Q6AYL5, O43290, Q64LC9, Q9VSD7, P62323, P08579	920	137	12321	4.39896064741352	4.176988591653896E-14	4.176988591653896E-14	4.159920659072844E-14
UP_KW_CELLULAR_COMPONENT	KW-0647~Proteasome	29	2.834799608993157	1.6462315519739053E-17	O43396, O70435, Q2KIW6, O42586, Q9R1P0, Q8BG32, O42265, Q9V3H2, P51665, A3KMV2, P54778, Q9PTW9, P62198, Q5F3J5, Q9Z2U1, Q32KL2, Q06AT3, Q9IB83, P60901, Q9CX56, Q9JMA1, P28072, O73672, Q5RFD3, Q2TBP0, Q99JI4, B0BN93, F1QGH9, O73817	904	56	12124	6.945243362831858	9.712766156646042E-16	3.237588718882014E-16	2.853468023421436E-16
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	161	15.73802541544477	3.0452227136419334E-17	P35816, O70378, Q5TYQ3, Q60587, O75947, Q8BH95, Q7ZUH5, Q99MS3, Q28DE0, A8KB87, Q9WVL0, Q5ZLN5, A6NK06, A6QP15, Q5RF14, Q5RF16, Q28E61, Q3SZM6, Q5ZI74, P27105, P27124, Q7ZTM6, Q91WM2, P07756, Q9CR58, Q8JZU0, Q9CQL5, P97478, Q6TJY3, P54987, B5X5B4, Q7ZVZ6, Q5BJJ8, Q2HJ98, A8E7D3, P83565, B0K019, Q5MB13, P0DPI2, Q9Y3B8, Q4JF29, P00375, Q501S4, Q6YP21, P36968, Q96DX5, E7EXZ6, Q5RFG0, O75521, Q6PBR7, Q8C6I2, Q6PBI8, Q3U186, Q6IQC7, Q32PL8, A4FUZ6, Q6DH87, Q6DH02, Q9NRA0, Q90257, P24456, Q15842, P54001, Q28480, A3KP48, P10620, Q7ZW00, Q3T114, Q9H773, Q2KII6, P21910, Q6DCP1, Q64380, Q9NWT8, Q5SUC9, Q6GPY0, Q99LE6, Q9JK81, Q6NSR3, O89110, Q8BM72, Q6DI06, Q32L67, Q8N5M1, Q5R8R5, P18163, P13420, O00743, Q29R99, Q9NVS2, Q58DV5, Q5F339, P61222, Q1LXI5, Q9NRK6, Q9D0D3, P00348, Q8BT51, Q7T3C7, Q9WV85, Q3ZBL5, P38718, Q9WV84, P13437, Q9CQX2, P54823, Q6PCS6, Q920A7, P41320, Q5TM62, Q7SXN5, Q99551, Q8WV93, Q6DGV7, Q28F51, Q9Z2Z6, Q9Z210, Q497L9, O88484, B9EMY6, Q6GLL2, A4IHB9, Q5BJB7, Q9BUR5, Q8R5G2, Q5T2N8, A9UMS3, Q3B7H2, P52815, Q9QY94, Q6GQN8, Q0VC74, O43615, P42125, Q502L2, Q9HC38, Q0P4D6, Q5M7E3, Q99NF1, Q08297, Q4KMD7, P97494, Q6P825, Q7TMS5, Q9N1F2, Q5XIH9, O75431, Q8BYL4, P11233, Q6PH19, Q5ZJM7, Q9P0M9, Q5R9C5, Q28HC6, Q6NSN2, Q9NPB1, Q8K3W2, A1A4P4, Q9ERI6, Q5RAS7, P21399	970	1114	13014	1.9390086805234226	1.7997266237623827E-14	8.998633118811913E-15	8.420040803219947E-15
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	74	7.233626588465299	5.3531251862429816E-17	Q9MZE0, Q62203, Q9QXA5, Q6PB75, B5FXN8, Q5ZHZ0, O70454, Q5F3X4, O42226, P52912, Q9D287, Q5ZLN5, Q5RCP3, Q96DI7, Q8UUW7, Q1LVE8, P62311, Q7ZXB8, Q922V4, P84104, Q9D0D3, Q14493, Q8VDW0, Q9UK45, P62313, C0H906, Q7T3C6, P62315, Q12874, Q5R628, Q96J01, O43447, B5DGI7, Q6DGZ3, P62321, Q9BWJ5, Q3TIX9, Q6PC19, O43290, Q28F51, Q18786, Q64LC9, Q9QXK7, P62323, P08579, Q96BP3, P57784, Q08DJ7, B9ENE7, Q7SXM7, Q5XH16, P83871, Q2KJJ0, P83877, O35900, Q502P0, Q4KMD7, Q3B7G7, Q9UMS4, Q2KIR1, Q5R723, Q7TP47, P62309, Q2TBX0, Q5R1W5, Q568A0, E7F3I6, Q5RBD4, Q9P2I0, Q76LC6, Q6AYL5, O55128, Q9VSD7, Q5E959	619	327	7812	2.855982570289458	7.226719001428025E-15	7.226719001428025E-15	6.744937734666157E-15
GOTERM_CC_DIRECT	GO:0071005~U2-type precatalytic spliceosome	25	2.4437927663734116	5.864118761714356E-17	Q62203, Q9QXA5, P57784, Q5F3X4, Q5RCP3, Q7SXM7, P62311, Q1LVE8, Q5XH16, P83871, Q2KJJ0, Q9UK45, P83877, P62313, O35900, P62315, Q12874, P62309, Q5R628, P62321, Q9BWJ5, Q6AYL5, O43290, P62323, P08579	970	42	13014	7.9860088365243005	6.561418075534675E-14	1.1552313960577282E-14	1.0809525584093464E-14
UP_KW_BIOLOGICAL_PROCESS	KW-0508~mRNA splicing	63	6.158357771260997	3.4940248765149084E-16	Q9MZE0, Q62203, Q9QXA5, B5FXN8, Q5ZHZ0, O70454, Q5F3X4, O42226, P52912, Q9D287, Q5ZLN5, Q5RCP3, Q96DI7, Q8UUW7, Q1LVE8, P62311, Q922V4, P84104, Q8VDW0, Q9UK45, P62313, C0H906, P62315, Q12874, Q5R628, Q96J01, O43447, B5DGI7, Q6DGZ3, P62321, Q9BWJ5, Q3TIX9, O43290, Q28F51, Q18786, Q64LC9, P62323, P08579, Q96BP3, P57784, Q08DJ7, B9ENE7, Q7SXM7, Q5XH16, P83871, Q2KJJ0, P83877, O35900, Q502P0, Q3B7G7, Q9UMS4, Q2KIR1, Q5R723, Q7TP47, P62309, Q2TBX0, Q5R1W5, Q568A0, Q5RBD4, Q76LC6, Q6AYL5, O55128, Q5E959	619	256	7812	3.105790589660743	4.496403249731884E-14	2.3584667916475632E-14	2.2012356722043924E-14
