Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00589:PRY	10	3.6900369003690034	3.15972938310124E-6	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	78	96	5985	7.992788461538461	2.464289126636876E-4	2.464588918818967E-4	2.4013943311569424E-4
SMART	SM01288:FISNA	8	2.952029520295203	6.98733537253877E-6	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	78	57	5985	10.769230769230768	5.448655699705762E-4	2.72506079529012E-4	2.655187441564733E-4
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	6	2.214022140221402	1.1084520976474427E-5	115535233, 115549327, 115530778, 115530616, 115530615, 115555905	139	23	10308	19.34563653425086	6.980849171086545E-4	6.983248215178889E-4	6.983248215178889E-4
INTERPRO	IPR006574:PRY	10	3.6900369003690034	1.706569736055283E-5	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	169	97	10953	6.681510400780821	0.007887282007055907	0.005493009313156101	0.005386463873892297
INTERPRO	IPR029495:NACHT-assoc	8	2.952029520295203	2.444309836033916E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	169	57	10953	9.096231703519152	0.011277661232181768	0.005493009313156101	0.005386463873892297
SMART	SM00368:LRR_RI	8	2.952029520295203	3.993278406967876E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	78	74	5985	8.295218295218294	0.0031099733325565815	0.0010382523858116477	0.0010116305297651952
INTERPRO	IPR041075:NOD2_WH	8	2.952029520295203	4.263649595793486E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	169	62	10953	8.362664630654704	0.019589341576708552	0.005493009313156101	0.005386463873892297
INTERPRO	IPR041267:NLRP_HD2	8	2.952029520295203	4.735352856169052E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	169	63	10953	8.229923922231615	0.02173291921865972	0.005493009313156101	0.005386463873892297
UP_SEQ_FEATURE	DOMAIN:NACHT	8	2.952029520295203	6.514333259394582E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	156	67	10226	7.827018752391886	0.00978873896237109	0.0059066736994271805	0.0059066736994271805
SMART	SM00449:SPRY	9	3.3210332103321036	6.936180396443111E-5	115542760, 115542680, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	78	109	5985	6.335568101623148	0.005395798450366196	0.0013525551773064066	0.001317874275324191
INTERPRO	IPR007111:NACHT_NTPase	8	2.952029520295203	7.07034408979857E-5	115546105, 115532556, 115547918, 115546781, 115541733, 115541317, 115540803, 115546826	169	67	10953	7.738585180605846	0.03227522588419429	0.006561279315333073	0.006434013121716699
UP_SEQ_FEATURE	DOMAIN:B30.2/SPRY	10	3.6900369003690034	7.823408873413484E-5	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	156	119	10226	5.508511096746391	0.011744300469936797	0.0059066736994271805	0.0059066736994271805
INTERPRO	IPR001870:B30.2/SPRY	10	3.6900369003690034	8.662956322808929E-5	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	169	119	10953	5.446273183829745	0.03940064242317276	0.006699352889638905	0.006569408544796771
INTERPRO	IPR003879:Butyrophylin_SPRY	9	3.3210332103321036	1.2638517412101266E-4	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115540803, 115546826, 115542318	169	98	10953	5.95199855089965	0.05695985614569121	0.008293184953192857	0.008132325762290409
INTERPRO	IPR043136:B30.2/SPRY_sf	10	3.6900369003690034	1.4298594746884236E-4	115542760, 115542680, 115532556, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	169	127	10953	5.103200857289288	0.06419693315692432	0.008293184953192857	0.008132325762290409
INTERPRO	IPR003877:SPRY_dom	9	3.3210332103321036	3.3843369967580077E-4	115542760, 115542680, 115558714, 115558944, 115541733, 115541317, 115540803, 115546826, 115542318	169	113	10953	5.161910247682882	0.145347064046789	0.017448137405507953	0.01710970370583215
GOTERM_BP_DIRECT	GO:0006955~immune response	8	2.952029520295203	6.930797095932773E-4	115535447, 115556025, 115554288, 115539281, 115553583, 115548506, 115535452, 115534317	129	114	9844	5.355093159254726	0.12645654287392882	0.12396470020381643	0.12332570690379675
GOTERM_CC_DIRECT	GO:0016020~membrane	59	21.771217712177123	7.722451935554831E-4	115553583, 115536920, 115556612, 115533815, 115531513, 115553987, 115541283, 115545124, 115540395, 115542015, 115549522, 115540157, 115550597, 115557385, 115550591, 115536361, 115532994, 115555253, 115554288, 115529861, 115553433, 115534179, 115548244, 115535428, 115544568, 115548841, 115547950, 115529469, 115551372, 115557323, 115542949, 115557526, 115532980, 115556115, 115540092, 115549022, 115542391, 115543881, 115544531, 115545465, 115550730, 115547401, 115537077, 115546517, 115535524, 115534633, 115560988, 115531163, 115560388, 115559757, 115557216, 115554742, 115561079, 115534317, 115537706, 115539281, 115540422, 115531162, 115557452	139	3003	10308	1.4569890541113562	0.047504829460647935	0.02432572359699772	0.02432572359699772
INTERPRO	IPR013320:ConA-like_dom_sf	11	4.059040590405904	8.361209735519271E-4	115542760, 115542680, 115532556, 115558714, 115558944, 115553696, 115541733, 115541317, 115540803, 115546826, 115542318	169	195	10953	3.6559854346836596	0.3216706981390577	0.03879601317280942	0.038043504296612685
UP_KW_BIOLOGICAL_PROCESS	KW-0391~Immunity	7	2.5830258302583027	9.396171018166814E-4	115542760, 115542680, 115548506, 115558714, 115558944, 115546781, 115542318	36	92	2717	5.742451690821256	0.025062183634108615	0.025369661749050396	0.025369661749050396
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	4	1.4760147601476015	0.0012779866000393447	115530778, 115530616, 115550591, 115530615	129	17	9844	17.95531235750114	0.22070589657332373	0.12396470020381643	0.12332570690379675
INTERPRO	IPR002337:Hemoglobin_b	3	1.107011070110701	0.002268725137979311	115530778, 115530616, 115530615	169	5	10953	38.88639053254438	0.651418913720317	0.09569895127476365	0.09384272161641695
GOTERM_CC_DIRECT	GO:0005615~extracellular space	16	5.904059040590406	0.002391021663476215	115538924, 115535447, 115556025, 115531166, 115560933, 115553583, 115557228, 115556239, 115531685, 115557348, 115528753, 115542093, 115547950, 115549327, 115534020, 115535452	139	492	10308	2.411651166871381	0.1399929889530388	0.05021145493300051	0.05021145493300051
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	6	2.214022140221402	0.002397591780547116	115541781, 115560668, 115529267, 115541785, 115542988, 115546781	129	72	9844	6.359173126614987	0.37380394386245075	0.15504426847538016	0.15424507121519776
INTERPRO	IPR000169:Pept_cys_AS	4	1.4760147601476015	0.0028669288429566003	115556025, 115559787, 115553583, 115534020	169	19	10953	13.644347555278728	0.7360948468491304	0.11085458192765521	0.10870438529543776
INTERPRO	IPR027370:Znf-RING_euk	6	2.214022140221402	0.003827082228610578	115542760, 115542680, 115558714, 115558944, 115533815, 115542318	169	68	10953	5.7185868430212325	0.8312223060169563	0.1365973964673314	0.13394787800137023
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	62	22.878228782287824	0.00387193599304547	115553583, 115536920, 115556338, 115533815, 115552533, 115531513, 115553987, 115554758, 115546171, 115541283, 115545124, 115540395, 115542499, 115542015, 115549522, 115540157, 115550597, 115557385, 115536361, 115532994, 115554288, 115529861, 115553433, 115534179, 115548244, 115546781, 115535428, 115548841, 115547950, 115551372, 115557323, 115542949, 115557526, 115532980, 115556115, 115540092, 115549022, 115542391, 115543881, 115544531, 115545465, 115547401, 115537077, 115551065, 115546517, 115535524, 115534633, 115531166, 115560988, 115531163, 115560388, 115559757, 115557216, 115554742, 115561079, 115534317, 115537706, 115539281, 115548506, 115540422, 115531162, 115557452	79	3616	5685	1.233862159740114	0.06382295788074199	0.06582291188177299	0.06582291188177299
GOTERM_CC_DIRECT	GO:0005833~hemoglobin complex	3	1.107011070110701	0.0047259112415519	115530778, 115530616, 115530615	139	8	10308	27.809352517985616	0.25802383658880224	0.05954648164355394	0.05954648164355394
GOTERM_CC_DIRECT	GO:0031838~haptoglobin-hemoglobin complex	3	1.107011070110701	0.0047259112415519	115530778, 115530616, 115530615	139	8	10308	27.809352517985616	0.25802383658880224	0.05954648164355394	0.05954648164355394
GOTERM_MF_DIRECT	GO:0043177~organic acid binding	3	1.107011070110701	0.006191971744879457	115530778, 115530616, 115530615	163	8	10535	24.236963190184053	0.6455804830809007	0.5170296406974346	0.5170296406974346
GOTERM_MF_DIRECT	GO:0031720~haptoglobin binding	3	1.107011070110701	0.006191971744879457	115530778, 115530616, 115530615	163	8	10535	24.236963190184053	0.6455804830809007	0.5170296406974346	0.5170296406974346
SMART	SM00645:Pept_C1	3	1.107011070110701	0.006877007486006774	115556025, 115553583, 115534020	78	10	5985	23.01923076923077	0.4162366027520732	0.10728131678170567	0.10453051378730296
UP_SEQ_FEATURE	DOMAIN:Peptidase C1A papain C-terminal	3	1.107011070110701	0.007663263581757139	115556025, 115553583, 115534020	156	9	10226	21.85042735042735	0.6870179276114982	0.3431966894088113	0.3431966894088113
INTERPRO	IPR025660:Pept_his_AS	3	1.107011070110701	0.007843983316336501	115556025, 115553583, 115534020	169	9	10953	21.60355029585799	0.974111537166279	0.25997201848429546	0.2549294577809363
GOTERM_BP_DIRECT	GO:0015671~oxygen transport	3	1.107011070110701	0.00854495276286641	115530778, 115530616, 115530615	129	11	9844	20.81183932346723	0.8123967064802655	0.3420103899875606	0.3402474498329856
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	4	1.4760147601476015	0.008814700772875274	115545168, 115556981, 115557348, 115531538	129	33	9844	9.249706365985435	0.822091714727039	0.3420103899875606	0.3402474498329856
INTERPRO	IPR013128:Peptidase_C1A	3	1.107011070110701	0.00970673774290425	115556025, 115553583, 115534020	169	10	10953	19.44319526627219	0.9891753357396063	0.2649368419239748	0.2597979807659667
INTERPRO	IPR000668:Peptidase_C1A_C	3	1.107011070110701	0.00970673774290425	115556025, 115553583, 115534020	169	10	10953	19.44319526627219	0.9891753357396063	0.2649368419239748	0.2597979807659667
INTERPRO	IPR025661:Pept_asp_AS	3	1.107011070110701	0.00970673774290425	115556025, 115553583, 115534020	169	10	10953	19.44319526627219	0.9891753357396063	0.2649368419239748	0.2597979807659667
INTERPRO	IPR012292:Globin/Proto	3	1.107011070110701	0.011745068127201972	115530778, 115530616, 115530615	169	11	10953	17.675632060247445	0.9958388676665677	0.30276175616787304	0.2968892221042721
SMART	SM00336:BBOX	5	1.8450184501845017	0.012840347436576598	115542760, 115542680, 115558714, 115558944, 115542318	78	71	5985	5.403575297941495	0.635063818249773	0.16692451667549577	0.16264440086330356
UP_SEQ_FEATURE	BINDING:proximal binding residue	3	1.107011070110701	0.013636954546045481	115530778, 115530616, 115530615	156	12	10226	16.387820512820515	0.8742361800125469	0.3431966894088113	0.3431966894088113
UP_SEQ_FEATURE	BINDING:distal binding residue	3	1.107011070110701	0.013636954546045481	115530778, 115530616, 115530615	156	12	10226	16.387820512820515	0.8742361800125469	0.3431966894088113	0.3431966894088113
UP_SEQ_FEATURE	DOMAIN:Globin family profile	3	1.107011070110701	0.013636954546045481	115530778, 115530616, 115530615	156	12	10226	16.387820512820515	0.8742361800125469	0.3431966894088113	0.3431966894088113
INTERPRO	IPR000971:Globin	3	1.107011070110701	0.013953215910235626	115530778, 115530616, 115530615	169	12	10953	16.202662721893493	0.9985261619939093	0.3237146091174665	0.3174356619578605
