Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:Reverse transcriptase	14	8.536585365853659	2.615195539913235E-16	P0CT39, Q8I7P9, P21328, P08548, Q9TTC1, P14381, Q9NBX4, P0CT40	159	38	13184	30.548824892419727	7.882583474838611E-14	9.283944166691984E-14	9.02242461270066E-14
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	14	8.536585365853659	3.5414987919674896E-16	P0CT39, Q8I7P9, P21328, P08548, Q9TTC1, P14381, Q9NBX4, P0CT40	163	38	13212	29.862447529867612	2.831068712794149E-13	3.0102739731723663E-13	2.9465269949169515E-13
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	13	7.926829268292683	4.348415459732594E-15	P0CT39, Q8I7P9, P21328, P08548, Q9TTC1, Q9NBX4, P0CT40	147	35	12011	30.348493683187563	1.216693412686709E-12	1.2219047441848589E-12	1.2045110823459286E-12
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	13	7.926829268292683	1.3034837026531835E-14	P0CT39, Q8I7P9, P21328, P08548, Q9TTC1, Q9NBX4, P0CT40	116	35	8527	27.30320197044335	8.443246102274315E-13	8.472644067245693E-13	7.16916036459251E-13
INTERPRO	IPR001584:Integrase, catalytic core	12	7.317073170731707	2.3175447015515643E-14	P0CT39, Q8I7P9, Q9TTC1, P0CT40, P34457, P04146	159	30	13184	33.16729559748428	8.237299731206349E-12	4.113641845254027E-12	3.997764610176448E-12
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	12	7.317073170731707	2.989750022182088E-14	P0CT39, Q8I7P9, Q9TTC1, P0CT40, P34457, P04146	163	30	13212	32.42208588957055	2.5385249458054204E-11	1.2706437594273875E-11	1.2437360092277488E-11
GOTERM_BP_DIRECT	GO:0015074~DNA integration	12	7.317073170731707	3.788516164616276E-13	P0CT39, Q8I7P9, Q9TTC1, P0CT40, P34457, P04146	142	39	12321	26.697724810400867	3.1478952777774794E-10	3.1482569327961254E-10	3.1444684166315087E-10
UP_SEQ_FEATURE	DOMAIN:Peptidase A2	9	5.487804878048781	9.508368045075102E-12	P0CT39, Q9TTC1, P0CT40	163	17	13212	42.911584265608084	8.082134961284737E-9	2.020528209578459E-9	1.977740553375621E-9
UP_SEQ_FEATURE	ACT_SITE:For protease activity	9	5.487804878048781	9.508368045075102E-12	P0CT39, P0CT40, P04146	163	17	13212	42.911584265608084	8.082134961284737E-9	2.020528209578459E-9	1.977740553375621E-9
INTERPRO	IPR024648:Peptidase A2E, retrotransposon	8	4.878048780487805	9.850051278545853E-12	P0CT39, P0CT40	159	11	13184	60.30417381360778	3.4967534423557822E-9	1.0549656401987716E-9	1.0252482982213415E-9
INTERPRO	IPR012337:Ribonuclease H-like domain	14	8.536585365853659	1.1886936790972074E-11	P0CT39, Q8I7P9, Q9TTC1, A4IFA3, Q5SVZ6, P0CT40, P34457, P04146	159	81	13184	14.33154748039444	4.219862237420102E-9	1.0549656401987716E-9	1.0252482982213415E-9
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	8	4.878048780487805	7.1043082152936E-11	P0CT39, P0CT40	142	14	12321	49.58148893360161	5.9036781352439505E-8	2.951840063454491E-8	2.9482879093468442E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0229~DNA integration	9	5.487804878048781	1.5404184202893698E-10	P0CT39, Q9TTC1, P0CT40	84	26	7812	32.19230769230769	9.088471530915854E-9	9.088468679707282E-9	9.088468679707282E-9
INTERPRO	IPR001969:Peptidase aspartic, active site	9	5.487804878048781	3.2403485083024166E-10	P0CT39, Q9TTC1, P0CT40	159	25	13184	29.85056603773585	1.1503234709220322E-7	2.3006474408947156E-8	2.2358404707286676E-8
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	10	6.097560975609756	4.2559869723648047E-10	P0CT39, Q9TTC1, P0CT40, P04146	116	34	8527	21.620182555780932	2.7663913049202904E-8	1.3831957660185616E-8	1.1703964174003212E-8
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	10	6.097560975609756	1.7941399814696732E-9	P0CT39, Q9TTC1, P0CT40, P04146	147	43	12011	19.001740230976115	5.041531986327286E-7	2.520766673964891E-7	2.4848838743354973E-7
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	9	5.487804878048781	3.2314361910321406E-9	P0CT39, Q9TTC1, P0CT40	147	32	12011	22.980229591836732	9.080331697663979E-7	3.026778565600105E-7	2.983692749719676E-7
INTERPRO	IPR021109:Aspartic peptidase	9	5.487804878048781	3.83497269082058E-9	P0CT39, Q9TTC1, P0CT40	159	33	13184	22.614065180102916	1.3614143746787377E-6	2.26902550873551E-7	2.2051092972218338E-7
INTERPRO	IPR013164:Cadherin, N-terminal	9	5.487804878048781	4.9642951947710584E-9	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	159	34	13184	21.94894561598224	1.7623232464458738E-6	2.517606848776751E-7	2.4466883459943075E-7
UP_KW_MOLECULAR_FUNCTION	KW-0239~DNA-directed DNA polymerase	9	5.487804878048781	5.217080132945936E-9	P0CT39, Q9TTC1, P0CT40	116	31	8527	21.341212458286986	3.391101499605753E-7	8.485183111926248E-8	7.179770325476056E-8
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	14	8.536585365853659	5.221651145800768E-9	P0CT39, Q8I7P9, P21328, P08548, Q8CFI7, Q9TTC1, Q9NBX4, P0CT40	116	118	8527	8.72136177673875	3.3940726551495715E-7	8.485183111926248E-8	7.179770325476056E-8
UP_KW_MOLECULAR_FUNCTION	KW-0540~Nuclease	13	7.926829268292683	2.742797176878638E-7	P0CT39, Q8I7P9, Q6AZB8, Q9TTC1, Q17QR8, B0BN95, P0CT40	116	137	8527	6.9752705763906375	1.7828025175359308E-5	3.565636329942229E-6	3.0170768945665017E-6
UP_SEQ_FEATURE	DOMAIN:Cadherin 6	9	5.487804878048781	2.7694421067364696E-7	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	54	13212	13.509202453987731	2.3537490664993221E-4	4.7080515814519986E-5	4.608351665609486E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0233~DNA recombination	9	5.487804878048781	1.21061747586998E-6	P0CT39, Q9TTC1, P0CT40	84	76	7812	11.01315789473684	7.142392349868132E-5	3.571321553816441E-5	3.571321553816441E-5
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	9	5.487804878048781	1.5704020234103039E-6	P0CT39, Q8I7P9, P0CT40	147	68	12011	10.81422569027611	4.411859639157356E-4	1.1032074214457385E-4	1.0875034012116355E-4
UP_KW_MOLECULAR_FUNCTION	KW-0511~Multifunctional enzyme	10	6.097560975609756	2.078251913429719E-6	P0CT39, Q16875, Q9TTC1, P0CT40	116	86	8527	8.547514033680834	1.3507739097384786E-4	2.128400180260361E-5	1.8009539986818436E-5
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	10	6.097560975609756	2.2921232710496195E-6	P0CT39, Q8I7P9, Q9TTC1, P0CT40	116	87	8527	8.449266745937377	1.4897708518135655E-4	2.128400180260361E-5	1.8009539986818436E-5
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	9	5.487804878048781	2.359376484369568E-6	P0CT39, Q9TTC1, P0CT40	142	76	12321	10.275111193476649	0.0019587233642529567	6.535472861703704E-4	6.527608273422472E-4
UP_SEQ_FEATURE	DOMAIN:Cadherin 5	9	5.487804878048781	2.6428289753554676E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	72	13212	10.131901840490798	0.0022438863122185015	3.1210616659806405E-4	3.054968595406933E-4
INTERPRO	IPR020894:Cadherin conserved site	9	5.487804878048781	2.7468236218784754E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	159	74	13184	10.084650688424274	9.746484463765137E-4	1.2189029822085735E-4	1.1845676869350926E-4
UP_SEQ_FEATURE	DOMAIN:Cadherin 3	9	5.487804878048781	2.937469803275897E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	73	13212	9.993108664593663	0.0024937384552859987	3.1210616659806405E-4	3.054968595406933E-4
UP_SEQ_FEATURE	DOMAIN:Cadherin 4	9	5.487804878048781	2.937469803275897E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	73	13212	9.993108664593663	0.0024937384552859987	3.1210616659806405E-4	3.054968595406933E-4
UP_SEQ_FEATURE	DOMAIN:Cadherin 1	9	5.487804878048781	3.994285303799565E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	76	13212	9.598643848886018	0.003389392286658799	3.39514250822963E-4	3.323245372761238E-4
UP_SEQ_FEATURE	DOMAIN:Cadherin 2	9	5.487804878048781	3.994285303799565E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	163	76	13212	9.598643848886018	0.003389392286658799	3.39514250822963E-4	3.323245372761238E-4
INTERPRO	IPR002126:Cadherin	9	5.487804878048781	4.103675691720082E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	159	78	13184	9.567489114658926	0.0014557472302267893	1.6186720784006992E-4	1.5730756818260316E-4
SMART	SM00112:CA	9	5.487804878048781	4.962759284593704E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	97	76	7498	9.153825284861638	4.3166793370408296E-4	4.3176005775965226E-4	4.3176005775965226E-4
INTERPRO	IPR015919:Cadherin-like	9	5.487804878048781	5.461032216024735E-6	Q5DRB1, Q5DRD3, Q5DRC1, Q5DRB6, O95206, Q5DRA3, Q9Y5H3, Q5DRB8, Q5DRC0	159	81	13184	9.213137665967855	0.00193679372002864	1.938666436688781E-4	1.8840561145285335E-4
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	43	26.21951219512195	1.4217519015180922E-5	P08913, Q5DRB1, Q5DRD3, P46095, Q5DRB6, Q60943, Q80T02, Q9PT84, Q5DRB8, Q8BGE9, Q07496, O08966, Q58DX5, Q6TLI7, P58682, P35384, O88536, Q63ZI0, Q4V922, Q7ZZL8, O54689, Q5DRC0, D3Z291, Q92633, Q2KI97, Q64359, Q5DRC1, P48542, P56563, O95206, Q9BR26, Q5DRA3, Q9Y5H3, P56747, P30873, P31422, Q58D85, Q64H34, Q9H295, O35433, B0F9W3, Q63ZR6, Q6QMG1	163	1773	13212	1.9658061100557438	0.012012247012089583	0.0010986264693548893	0.001075361438239139
INTERPRO	IPR000276:G protein-coupled receptor, rhodopsin-like	14	8.536585365853659	2.1126246427584583E-5	Q2KI97, P08913, P46095, Q80T02, Q8BGE9, P30873, Q58D85, Q64H34, Q6TLI7, O88536, B0F9W3, O54689, Q6QMG1, Q92633	159	269	13184	4.315447382572303	0.007471842657079231	6.756311791417886E-4	6.565993149406116E-4
INTERPRO	IPR017452:GPCR, rhodopsin-like, 7TM	14	8.536585365853659	2.2838237041412575E-5	Q2KI97, P08913, P46095, Q80T02, Q8BGE9, P30873, Q58D85, Q64H34, Q6TLI7, O88536, B0F9W3, O54689, Q6QMG1, Q92633	159	271	13184	4.283599062405718	0.008074888248033929	6.756311791417886E-4	6.565993149406116E-4
