Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	25	51.02040816326531	5.194357440510304E-4	Q66KH9, Q641M3, Q15637, F1QLY4, P53567, Q6PHZ5, Q5VV67, Q92172, Q1ECW2, B2KF05, Q86VK4, Q8N365, Q15542, Q6GR30, P49791, Q1LUV9, E1BB52, Q1RLU1, Q5ZJH9, Q6PH85, Q03062, Q5R8C5, Q5ZMS4, Q8R2T8, Q08E02	41	4047	12082	1.820378841297679	0.009823276554170368	0.009869279136969576	0.009869279136969576
UP_KW_MOLECULAR_FUNCTION	KW-0010~Activator	9	18.367346938775512	0.0014792638330931344	Q66KH9, Q92172, Q1ECW2, Q5ZMS4, Q86VK4, Q08E02, F1QLY4, Q5VV67, P53567	35	569	8493	3.838162189304544	0.03347513861215867	0.03402306816114209	0.03254380432804896
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	17	34.69387755102041	0.004161636752754525	Q66KH9, Q15637, F1QLY4, Q03062, Q6PHZ5, Q5VV67, P53567, Q92172, Q1ECW2, Q5R8C5, Q5ZMS4, Q86VK4, Q8R2T8, Q08E02, Q8N365, Q15542, Q6GR30	39	1711	7793	1.9853586896252005	0.11759982604977426	0.12409897709972595	0.12409897709972595
GOTERM_CC_DIRECT	GO:0005634~nucleus	25	51.02040816326531	0.004343957658743443	E7F6T8, Q66KH9, Q641M3, Q15637, F1QLY4, P53567, Q6PHZ5, Q5VV67, Q92172, Q1ECW2, B2KF05, Q86VK4, Q8N365, Q15542, Q1LUV9, E1BB52, Q1RLU1, Q9CUX1, P22907, Q6PH85, Q03062, Q5R8C5, Q5ZMS4, Q8R2T8, Q08E02	47	4213	12977	1.638419077728005	0.26907633052153435	0.3127649514295279	0.3127649514295279
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	8	16.3265306122449	0.005727062296990121	Q92172, Q1ECW2, Q86VK4, Q08E02, Q8N365, F1QLY4, Q03062, P53567	41	660	11957	3.534959349593496	0.4138313936649737	0.5326167936200812	0.5326167936200812
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	16	32.6530612244898	0.00827326513998173	Q66KH9, Q15637, F1QLY4, Q03062, Q6PHZ5, Q5VV67, P53567, Q92172, Q1ECW2, Q5R8C5, Q5ZMS4, Q86VK4, Q08E02, Q8N365, Q15542, Q6GR30	39	1661	7793	1.9248213155497924	0.22059958694083992	0.12409897709972595	0.12409897709972595
UP_KW_DOMAIN	KW-0863~Zinc-finger	10	20.408163265306122	0.008705018844403598	P49791, B2KF05, O76080, Q15637, Q86VK4, Q9CUX1, Q08E02, F1QLY4, Q6GR30, Q6P158	30	1223	9465	2.5797219950940313	0.09169442197661004	0.09575520728843957	0.09575520728843957
UP_KW_MOLECULAR_FUNCTION	KW-0678~Repressor	7	14.285714285714285	0.012206085936706215	Q66KH9, Q5R8C5, Q15637, Q08E02, Q8N365, Q03062, Q6GR30	35	491	8493	3.459470468431772	0.24607879261583432	0.1222689347113716	0.11695289407174674
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	5	10.204081632653061	0.01241852860648666	P49791, Q9NRK6, Q6ICL7, Q5U3V7, O15403	44	257	12215	5.4010435090201625	0.9739806455625245	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	26	53.06122448979592	0.014739091814811606	E7F6T8, Q66KH9, Q71RC2, Q6R8J2, Q15637, F1QLY4, Q5VV67, Q92172, Q1ECW2, B2KF05, O76080, A9JRI0, Q86VK4, Q8N365, Q15542, Q6GR30, Q6P158, Q504E7, P49791, Q8UVJ6, E1BB52, Q9CUX1, Q03062, Q5R8C5, Q5ZMS4, Q08E02	48	4831	13196	1.4795763472020975	0.9666391842419366	1.0	1.0
