Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	6.976744186046512	2.326328193022217E-6	Q95SX7, O00370, P0CT40	76	35	12011	27.09248120300752	4.558569218257036E-4	4.559603258323545E-4	4.489813412532879E-4
INTERPRO	IPR000477:Reverse transcriptase	6	6.976744186046512	2.9220864868949795E-6	Q95SX7, O00370, P0CT40	80	38	13184	26.021052631578947	7.214960132700954E-4	7.2175536226306E-4	7.12989102802375E-4
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	6.976744186046512	3.92066233325714E-6	Q95SX7, O00370, P0CT40	85	38	13212	24.542414860681113	0.0016218407803842982	0.001623154205968456	0.001623154205968456
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	6.976744186046512	4.01984828344423E-6	Q95SX7, O00370, P0CT40	61	35	8527	23.963466042154568	2.1704868513139353E-4	2.170718073059884E-4	1.9295271760532302E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0229~DNA integration	5	5.813953488372093	2.527608482407634E-5	P0CT40, Q04202	54	26	7812	27.820512820512818	0.0014397176540914547	0.0014407368349723514	0.0014407368349723514
INTERPRO	IPR024648:Peptidase A2E, retrotransposon	4	4.651162790697675	3.300719600169567E-5	P0CT40	80	11	13184	59.92727272727274	0.008119767115639775	0.004076388706209416	0.004026877912206872
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	4	4.651162790697675	7.514855583818594E-5	P0CT40	76	14	12321	46.319548872180455	0.0377466509345471	0.02269092162054799	0.02269092162054799
GOTERM_BP_DIRECT	GO:0015074~DNA integration	5	5.813953488372093	8.863641258026559E-5	P0CT40, Q04202	76	39	12321	20.784412955465587	0.0443694117782506	0.02269092162054799	0.02269092162054799
UP_KW_BIOLOGICAL_PROCESS	KW-0233~DNA recombination	6	6.976744186046512	1.5211950342284945E-4	O00370, P0CT40, Q04202	54	76	7812	11.421052631578945	0.00863398249403835	0.004335405847551209	0.004335405847551209
UP_SEQ_FEATURE	DOMAIN:Peptidase A2	4	4.651162790697675	1.5808502998009827E-4	P0CT40	85	17	13212	36.57301038062283	0.06335634764936615	0.021815734137253563	0.021815734137253563
UP_SEQ_FEATURE	ACT_SITE:For protease activity	4	4.651162790697675	1.5808502998009827E-4	P0CT40	85	17	13212	36.57301038062283	0.06335634764936615	0.021815734137253563	0.021815734137253563
INTERPRO	IPR001969:Peptidase aspartic, active site	4	4.651162790697675	4.331030626353285E-4	P0CT40	80	25	13184	26.368000000000002	0.10147399372613897	0.035658818823642045	0.035225715761006714
INTERPRO	IPR001584:Integrase, catalytic core	4	4.651162790697675	7.482238039693259E-4	P0CT40	80	30	13184	21.973333333333336	0.16879635517183023	0.04620281989510588	0.04564165204212888
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	9	10.465116279069768	7.983188908865747E-4	O57521, Q8IZY2, Q9I8F9, P48722, Q91233, Q99MV5, Q5ZI74, A7Z019, Q6P158	76	318	12011	4.472815292949354	0.14489669480357337	0.06653154664482669	0.06551320664516097
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	4	4.651162790697675	8.892282549162726E-4	P0CT40	85	30	13212	20.72470588235294	0.3080933802992596	0.09203512438383421	0.09203512438383421
INTERPRO	IPR021109:Aspartic peptidase	4	4.651162790697675	9.9259133298225E-4	P0CT40	80	33	13184	19.975757575757576	0.21752383466027347	0.04903401184932315	0.0484384570495338
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	4	4.651162790697675	0.0010183399996657146	P0CT40	76	32	12011	19.754934210526315	0.18102059059299758	0.06653154664482669	0.06551320664516097
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	5	5.813953488372093	0.0011666429602319674	O00370, P0CT40	76	76	12321	10.665685595567867	0.44990808534071247	0.19910706521292243	0.19910706521292243
UP_KW_MOLECULAR_FUNCTION	KW-0239~DNA-directed DNA polymerase	4	4.651162790697675	0.0012941632784989824	P0CT40	61	31	8527	18.037017451084086	0.06754098229759364	0.02291297789444164	0.020367091461725904
GOTERM_MF_DIRECT	GO:0003723~RNA binding	14	16.27906976744186	0.00138694630581037	Q8IY81, Q71RC2, Q5ZJH9, P0CT40, Q9NQ55, Q99MV5, Q7TQH0, Q5ZI74, Q5VV67, A7Z019, Q6P158	76	810	12011	2.731546458739441	0.23816872004386036	0.06796036898470814	0.06692015925535036
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	6.976744186046512	0.0013875608844389486	Q95SX7, O00370, P0CT40	61	118	8527	7.1078077243678806	0.07223825520079541	0.02291297789444164	0.020367091461725904
