Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	21	28.000000000000004	5.577434605207866E-12	Q8IY81, Q6NX08, Q5XG71, Q810V0, P46087, Q6DRP2, Q8K4L0, P79741, Q3T0Q8, Q58D06, Q9NQ55, Q6DRL5, Q9NY61, Q6PEH4, Q8VEJ4, Q7SY48, Q1JQD2, Q969X6, Q14146, P25685, Q15397	69	570	13014	6.948741418764303	5.577427408809399E-10	5.577434605207866E-10	5.577434605207866E-10
UP_KW_BIOLOGICAL_PROCESS	KW-0690~Ribosome biogenesis	10	13.333333333333334	1.0303304000962783E-10	Q8IY81, Q6NX08, Q810V0, P46087, Q7SY48, P79741, Q5ZJH9, Q3T0Q8, Q969X6, Q5ZI74	41	76	7812	25.070603337612322	4.224354088755433E-9	4.224354640394741E-9	4.224354640394741E-9
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	9	12.0	1.0437257419136812E-9	Q6PEH4, Q6NX08, Q810V0, Q7SY48, P79741, Q14146, Q8VI75, Q5ZI74, Q9NY61	65	63	12321	27.07912087912088	3.757412077032285E-7	3.7574126708892527E-7	3.7574126708892527E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0698~rRNA processing	9	12.0	6.724563502088315E-9	Q8IY81, Q6NX08, Q5XG71, Q810V0, P46087, Q7SY48, P79741, Q5ZJH9, Q969X6	41	83	7812	20.660593593887747	2.757070648451432E-7	1.3785355179281045E-7	1.3785355179281045E-7
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	9	12.0	5.87777218609101E-8	Q6NX08, Q5XG71, Q810V0, Q8K4L0, Q7SY48, P79741, Q58D06, Q9NQ55, Q3T0Q8	65	104	12321	16.40369822485207	2.1159756639299587E-5	1.0579989934963817E-5	1.0579989934963817E-5
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	6	8.0	1.320011430591788E-7	Q6PEH4, Q5XG71, Q810V0, Q7SY48, Q3T0Q8, Q969X6	69	24	13014	47.15217391304348	1.3200028051718604E-5	6.6000571529589405E-6	6.6000571529589405E-6
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	17	22.666666666666664	2.352247256464066E-6	Q8IY81, Q5XG71, Q810V0, P46087, P79741, P13821, Q3T0Q8, Q9NQ55, Q9I920, Q6DRL5, Q9NY61, Q96DM1, Q6PEH4, D3Z6Q9, Q1JQD2, Q91Y80, Q5RHY1	73	758	13212	4.059059529403259	7.829925588659359E-4	7.83298336402534E-4	7.83298336402534E-4
GOTERM_CC_DIRECT	GO:0030687~preribosome, large subunit precursor	5	6.666666666666667	4.645301262043247E-6	Q8IY81, Q6NX08, P79741, Q58D06, Q9NQ55	69	22	13014	42.865612648221344	4.644233272387277E-4	1.5484337540144156E-4	1.5484337540144156E-4
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	37	49.333333333333336	1.6390027233361513E-4	Q8IY81, Q5XG71, Q6NX08, Q8K4L0, Q04202, Q3T0Q8, Q7TQH0, Q9NY61, Q5VV67, Q5VWQ0, Q5ZM39, Q8VEJ4, Q7SY48, Q9BVI0, P48722, Q969X6, P25685, Q71MM5, P51596, Q810V0, P46087, Q6DRP2, P79741, Q5ZJH9, Q58D06, Q9NQ55, Q9I920, Q8VI75, Q6DRL5, Q6PEH4, P18625, Q1JQD2, Q567W6, Q5RHY1, Q14146, O89033, Q15397	65	4079	12124	1.6919229826314897	0.0031095158137793844	0.0031141051743386874	0.0031141051743386874
GOTERM_MF_DIRECT	GO:0003723~RNA binding	14	18.666666666666668	1.723870662298522E-4	Q8IY81, Q71RC2, P46087, Q8K4L0, P79741, Q5ZJH9, Q9NQ55, Q7TQH0, Q5VV67, Q9NY61, Q969X6, Q5ZI74, Q6P158, Q15397	62	810	12011	3.3483472720031857	0.023679014250113428	0.023961802205949456	0.023961802205949456
GOTERM_BP_DIRECT	GO:0000466~maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	4.0	2.629581205433409E-4	Q8IY81, Q6NX08, P79741	65	5	12321	113.7323076923077	0.0903336290579333	0.03155497446520091	0.03155497446520091
GOTERM_CC_DIRECT	GO:0030686~90S preribosome	3	4.0	0.0011782968920920366	Q5XG71, Q7SY48, Q969X6	69	10	13014	56.58260869565217	0.11121432939357423	0.029457422302300917	0.029457422302300917
GOTERM_MF_DIRECT	GO:0003688~DNA replication origin binding	3	4.0	0.0019090103226274849	Q1JQD2, Q5RHY1, O89033	62	13	12011	44.70595533498759	0.23325886505964488	0.1326762174226102	0.1326762174226102
GOTERM_BP_DIRECT	GO:0000463~maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	4.0	0.001996786914603796	Q8IY81, Q6NX08, P79741	65	13	12321	43.74319526627219	0.5130344679624248	0.17971082231434163	0.17971082231434163
UP_KW_PTM	KW-0164~Citrullination	3	4.0	0.0031930593735516105	Q8IY81, P46087, Q3T0Q8	48	16	8802	34.3828125	0.037650911984238755	0.041509771856170934	0.041509771856170934
GOTERM_BP_DIRECT	GO:0000027~ribosomal large subunit assembly	3	4.0	0.0034352950824801227	P46087, Q8VEJ4, Q9NQ55	65	17	12321	33.45067873303168	0.7102785493438102	0.22065965009071548	0.22065965009071548
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	3	4.0	0.003851810475606191	Q8IY81, P46087, Q91Y80	65	18	12321	31.592307692307692	0.7507575617613342	0.22065965009071548	0.22065965009071548
GOTERM_BP_DIRECT	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	4.0	0.0042906043073194676	Q6PEH4, Q7SY48, Q969X6	65	19	12321	29.929554655870447	0.7873145001704663	0.22065965009071548	0.22065965009071548
GOTERM_CC_DIRECT	GO:0005634~nucleus	34	45.33333333333333	0.00537139159881265	Q5XG71, Q6NX08, Q8K4L0, P50615, Q04202, Q7TQH0, Q9NY61, Q9Z0J7, Q5VV67, Q5VWQ0, Q5ZM39, Q8VEJ4, Q7SY48, P48722, P25685, Q5ZI74, Q71MM5, P51596, Q810V0, Q6DRP2, P48442, P79741, Q58D06, Q9NQ55, Q9I920, Q8VI75, Q6DRL5, Q6PEH4, O57521, P18625, Q1JQD2, Q567W6, Q5RHY1, O89033	69	4287	13014	1.4958468981044817	0.41642770671684626	0.107427831976253	0.107427831976253
INTERPRO	IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal	4	5.333333333333334	0.005373447816774556	Q8K4L0, Q9I920, Q5ZI74, Q6P158	72	66	13184	11.097643097643097	0.6464999972518557	0.678487988719407	0.678487988719407
INTERPRO	IPR002464:DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	3	4.0	0.007310366278336401	Q9I920, Q5ZI74, Q6P158	72	24	13184	22.888888888888886	0.7573373481778375	0.678487988719407	0.678487988719407
GOTERM_CC_DIRECT	GO:0034455~t-UTP complex	2	2.666666666666667	0.010423381633010122	Q7SY48, Q969X6	69	2	13014	188.60869565217394	0.6492945403355739	0.13276488317180807	0.13276488317180807
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	19	25.333333333333336	0.01058153514387748	Q8IY81, Q6NX08, P46087, Q8K4L0, P79741, Q5ZJH9, Q58D06, Q5VV67, Q9NY61, Q5ZM39, P18625, Q8VEJ4, Q1JQD2, Q9BVI0, Q91Y80, Q969X6, P25685, O89033, Q15397	69	1967	13014	1.8218430185009171	0.654855382358696	0.13276488317180807	0.13276488317180807
GOTERM_CC_DIRECT	GO:0005694~chromosome	6	8.0	0.010621190653744644	Q8IY81, Q810V0, Q1JQD2, Q9I920, Q969X6, Q15397	69	255	13014	4.437851662404092	0.6562359678056764	0.13276488317180807	0.13276488317180807
INTERPRO	IPR012972:NLE	2	2.666666666666667	0.010742035749339747	Q6NX08, Q8VEJ4	72	2	13184	183.11111111111111	0.875621824825889	0.678487988719407	0.678487988719407
UP_SEQ_FEATURE	DOMAIN:NLE	2	2.666666666666667	0.01086989477248169	Q6NX08, Q8VEJ4	73	2	13212	180.986301369863	0.9737343016164751	1.0	1.0
SMART	SM00490:HELICc	4	5.333333333333334	0.013482867525082595	Q8K4L0, Q9I920, Q5ZI74, Q6P158	39	99	7498	7.767935767935768	0.47165488233847574	0.33432432279782853	0.33432432279782853
SMART	SM00487:DEXDc	4	5.333333333333334	0.014226566927567172	Q8K4L0, Q9I920, Q5ZI74, Q6P158	39	101	7498	7.614115257679614	0.49005404539663233	0.33432432279782853	0.33432432279782853
GOTERM_CC_DIRECT	GO:0070545~PeBoW complex	2	2.666666666666667	0.015594854892443402	Q6NX08, P79741	69	3	13014	125.73913043478261	0.7923234346050503	0.17327616547159336	0.17327616547159336
INTERPRO	IPR001650:Helicase, C-terminal	4	5.333333333333334	0.01624100263316289	Q8K4L0, Q9I920, Q5ZI74, Q6P158	72	99	13184	7.398428731762064	0.957584708259835	0.678487988719407	0.678487988719407
INTERPRO	IPR014001:Helicase, superfamily 1/2, ATP-binding domain	4	5.333333333333334	0.017577409034181528	Q8K4L0, Q9I920, Q5ZI74, Q6P158	72	102	13184	7.180827886710239	0.9673728054464696	0.678487988719407	0.678487988719407
UP_SEQ_FEATURE	DOMAIN:Helicase C-terminal	4	5.333333333333334	0.017673887838469286	Q8K4L0, Q9I920, Q5ZI74, Q6P158	73	101	13212	7.167774311677743	0.9973627924853714	1.0	1.0
GOTERM_BP_DIRECT	GO:0006260~DNA replication	4	5.333333333333334	0.01808916592157342	Q1JQD2, Q5RHY1, Q9I920, O89033	65	107	12321	7.086125089863407	0.9986006102468357	0.8140124664708038	0.8140124664708038
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	31	41.333333333333336	0.018563891064349893	Q8IY81, Q5XG71, Q71RC2, Q6NX08, Q8K4L0, Q3UUQ7, P13821, Q3T0Q8, Q7TQH0, Q9NY61, Q5VV67, Q5VWQ0, Q9BVI0, P48722, Q969X6, Q6P158, Q810V0, P46087, Q6DRP2, P79741, Q5ZJH9, Q58D06, Q9NQ55, Q6DRL5, Q96DM1, Q6PEH4, O57521, Q91Y80, Q5RHY1, O89033, Q15397	73	3902	13212	1.4378716920722072	0.9980499003072109	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Helicase ATP-binding	4	5.333333333333334	0.02057069635199472	Q8K4L0, Q9I920, Q5ZI74, Q6P158	73	107	13212	6.765843041864037	0.9990136293032088	1.0	1.0
