Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_PTM	KW-0865~Zymogen	7	19.444444444444446	1.5800292856191488E-6	P00592, P35031, Q3T0P5, P06596, P40313, O60911	21	172	8798	17.050387596899224	2.3700177154584168E-5	2.528046856990638E-5	2.528046856990638E-5
UP_SEQ_FEATURE	PROPEP:Activation peptide	5	13.88888888888889	9.495028090367702E-6	P00592, P35031, P40313, O60911	33	56	13224	35.77922077922078	0.0010059714269975428	0.0010064729775789763	9.969779494886086E-4
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	4	11.11111111111111	0.0020116955866232777	P35031, P40313, O60911	32	98	11999	15.30484693877551	0.12797141962682168	0.1367952998903829	0.1367952998903829
GOTERM_BP_DIRECT	GO:0050830~defense response to Gram-positive bacterium	3	8.333333333333332	0.0025476759284753362	P00592, P02264, P06596	30	32	12301	38.440625	0.35680692810676884	0.404112894799092	0.4017634012246787
UP_KW_PTM	KW-0068~Autocatalytic cleavage	3	8.333333333333332	0.002636821833028525	P00592, Q3T0P5, P06596	21	34	8798	36.96638655462185	0.03883055648952394	0.0210945746642282	0.0210945746642282
GOTERM_CC_DIRECT	GO:0005615~extracellular space	8	22.22222222222222	0.0028182560868872403	P00592, P45845, P02264, P35031, P06596, P40313, O60911	34	774	13005	3.953488372093023	0.15815243953970282	0.17191362130012167	0.17191362130012167
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	11	30.555555555555557	0.002884875862798088	P00592, Q8I7P9, Q6ZMP0, P35031, Q9Z1N1, Q3T0P5, P06596, P40313, O60911, Q66S13	24	1466	8519	2.6633981355161436	0.0830215927153829	0.07005330466134675	0.07005330466134675
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	6	16.666666666666664	0.00467022031075645	Q8I7P9, P35031, Q3T0P5, P40313, O60911	24	422	8519	5.046800947867299	0.1310196758258101	0.07005330466134675	0.07005330466134675
UP_SEQ_FEATURE	DOMAIN:PA2c	2	5.555555555555555	0.00483401234136409	P00592, P06596	33	2	13224	400.7272727272727	0.4016909190275979	0.25620265409229676	0.25378564792161473
SMART	SM00020:Tryp_SPc	3	8.333333333333332	0.006139959810581568	P35031, P40313	17	56	7503	23.643907563025213	0.11589349033641594	0.06384657510771123	0.06384657510771123
SMART	SM00085:PA2c	2	5.555555555555555	0.006384657510771123	P00592, P06596	17	3	7503	294.2352941176471	0.12023682950692094	0.06384657510771123	0.06384657510771123
GOTERM_BP_DIRECT	GO:1904635~positive regulation of glomerular visceral epithelial cell apoptotic process	2	5.555555555555555	0.007056507287645078	P00592, P06596	30	3	12301	273.35555555555555	0.7062726543505351	0.404112894799092	0.4017634012246787
INTERPRO	IPR001211:Phospholipase A2	2	5.555555555555555	0.007264443717626202	P00592, P06596	33	3	13184	266.34343434343435	0.43784951824440876	0.15060454821391084	0.14297900146890272
INTERPRO	IPR001314:Peptidase S1A, chymotrypsin-type	3	8.333333333333332	0.007549495453851602	P35031, P40313	33	54	13184	22.195286195286197	0.4504595162176771	0.15060454821391084	0.14297900146890272
GOTERM_MF_DIRECT	GO:0047498~calcium-dependent phospholipase A2 activity	2	5.555555555555555	0.007731281657860958	P00592, P06596	32	3	11999	249.97916666666663	0.41008095355377816	0.2628635763672726	0.2628635763672726
INTERPRO	IPR018114:Peptidase S1, trypsin family, active site	3	8.333333333333332	0.007822579466109692	P35031, P40313	33	55	13184	21.791735537190085	0.46227799474602194	0.15060454821391084	0.14297900146890272
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	8	22.22222222222222	0.008341000307884035	P00592, P45845, Q6ZMP0, Q6UWF9, P35031, P06596, Q66S13	29	1047	12104	3.18914468267299	0.17522739865595505	0.1918430070813328	0.1918430070813328
UP_SEQ_FEATURE	DOMAIN:Peptidase S1	3	8.333333333333332	0.008907112446068463	P35031, P40313	33	59	13224	20.37596302003082	0.6126334584881623	0.31471797309441907	0.3117489356123962
INTERPRO	IPR001254:Peptidase S1	3	8.333333333333332	0.009253890303260806	P35031, P40313	33	60	13184	19.975757575757576	0.5202359747206492	0.15060454821391084	0.14297900146890272
GOTERM_BP_DIRECT	GO:0002227~innate immune response in mucosa	2	5.555555555555555	0.009397974297653303	P00592, P06596	30	4	12301	205.01666666666665	0.804762322889236	0.404112894799092	0.4017634012246787
