Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005685~U1 snRNP	4	3.5398230088495577	2.4216590077059995E-4	Q8JGS0, P62321, P62309, Q18786	110	15	13005	31.527272727272724	0.038242973721856366	0.03898871002406659	0.03898871002406659
GOTERM_BP_DIRECT	GO:0000387~spliceosomal snRNP assembly	4	3.5398230088495577	4.202645742584716E-4	Q8JGS0, P62321, P62309, Q18786	98	19	12301	26.42534908700322	0.22780412708876463	0.25804244859470155	0.25804244859470155
GOTERM_BP_DIRECT	GO:0006260~DNA replication	6	5.3097345132743365	0.0015495458351493232	P79733, P55862, Q3UPE3, Q502K2, P0C6T1, Q7ZT47	98	107	12301	7.038527560556933	0.6146910458162542	0.4757105713908422	0.4757105713908422
GOTERM_MF_DIRECT	GO:0042054~histone methyltransferase activity	3	2.6548672566371683	0.0030210361367716413	Q8AV13, Q4KL94, Q6DC04	102	10	11999	35.29117647058823	0.5220496955231706	0.7371328173722804	0.7371328173722804
GOTERM_BP_DIRECT	GO:0044772~mitotic cell cycle phase transition	3	2.6548672566371683	0.004536292178171448	Q9Z238, P14635, P61025	98	13	12301	28.96624803767661	0.9389563813062863	0.792976328387554	0.792976328387554
UP_SEQ_FEATURE	DOMAIN:PPIase FKBP-type	3	2.6548672566371683	0.0053603241427909645	O95302, Q00688, Q5RET2	99	15	13224	26.715151515151515	0.8247280447948735	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0158~Chromosome	9	7.964601769911504	0.005446155191360367	Q08297, P02264, P26583, P55862, Q502K2, Q6DC04, Q9JHY7, Q7ZT47, Q8H1F9	97	339	12104	3.3128364200346687	0.14179227726337074	0.11070081874887422	0.10674721807927158
SMART	SM00651:Sm	3	2.6548672566371683	0.005719559411743213	P62321, P62309, Q18786	55	16	7503	25.57840909090909	0.3268469309352341	0.24928531287948966	0.24928531287948966
UP_KW_BIOLOGICAL_PROCESS	KW-0235~DNA replication	5	4.424778761061947	0.005898213408981044	P55862, Q3UPE3, Q502K2, P0C6T1, Q7ZT47	67	86	7803	6.771086428323499	0.28622933417281893	0.3361981643119195	0.3361981643119195
GOTERM_CC_DIRECT	GO:0071011~precatalytic spliceosome	3	2.6548672566371683	0.005931110492392238	P62309, P83871, Q18786	110	14	13005	25.334415584415584	0.6162453532559895	0.4151839346816832	0.4151839346816832
UP_KW_DOMAIN	KW-0732~Signal	24	21.238938053097346	0.006317078250510982	O95302, P04114, P80513, Q6ZMP0, Q6UWF9, A4QP81, Q96J01, P13207, Q07984, Q5XIG2, Q62059, Q9Y6R7, Q66S13, P45845, Q9CXI5, Q5RKZ7, Q20FD0, Q8TAD2, P35031, Q96SL4, Q5RET2, P0DPI2, P40313	57	2385	9488	1.675030343153481	0.09642290804953735	0.10107325200817571	0.10107325200817571
INTERPRO	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	3	2.6548672566371683	0.006395400270271721	O95302, Q00688, Q5RET2	108	15	13184	24.414814814814815	0.8341153758782669	0.7889972496081773	0.7889972496081773
GOTERM_BP_DIRECT	GO:0045088~regulation of innate immune response	3	2.6548672566371683	0.006872408782962862	Q502K2, Q90YQ4, O89110	98	16	12301	23.535076530612244	0.9856085573843082	0.792976328387554	0.792976328387554
SMART	SM01332:SM01332	3	2.6548672566371683	0.007225661242883758	Q9Z238, P13351, P14635	55	18	7503	22.736363636363635	0.3937001425982699	0.24928531287948966	0.24928531287948966
INTERPRO	IPR001163:Ribonucleoprotein LSM domain	3	2.6548672566371683	0.00727052669252195	P62321, P62309, Q18786	108	16	13184	22.88888888888889	0.8703846446017056	0.7889972496081773	0.7889972496081773
GOTERM_BP_DIRECT	GO:0051321~meiotic cell cycle	4	3.5398230088495577	0.007528661136618453	Q08297, O35047, Q91819, Q8H1F9	98	51	12301	9.844737895158062	0.9904158434451886	0.792976328387554	0.792976328387554
GOTERM_CC_DIRECT	GO:0005686~U2 snRNP	3	2.6548672566371683	0.007736346608975464	P62309, P83871, Q18786	110	16	13005	22.167613636363633	0.713608295359899	0.4151839346816832	0.4151839346816832
GOTERM_BP_DIRECT	GO:0007129~synapsis	3	2.6548672566371683	0.0077489543490640465	Q9Z238, O35047, Q8H1F9	98	17	12301	22.150660264105642	0.9916389152324357	0.792976328387554	0.792976328387554
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	17	15.04424778761062	0.007907201339205302	P04114, P80513, P26583, Q6ZMP0, Q6UWF9, P13207, Q5XIG2, Q62059, Q9Y6R7, Q66S13, P45845, Q9CXI5, Q20FD0, Q8TAD2, P35031, Q96SL4	97	1047	12104	2.0260932069043607	0.1993101520816617	0.11070081874887422	0.10674721807927158
INTERPRO	IPR004367:Cyclin, C-terminal domain	3	2.6548672566371683	0.009172606788195004	Q9Z238, P13351, P14635	108	18	13184	20.345679012345677	0.9242397530375185	0.7889972496081773	0.7889972496081773
GOTERM_BP_DIRECT	GO:0007131~reciprocal meiotic recombination	3	2.6548672566371683	0.009644001079209444	Q08297, O35047, Q8H1F9	98	19	12301	19.819011815252416	0.9974196892923936	0.8459166660906569	0.8459166660906569
UP_SEQ_FEATURE	DOMAIN:Cyclin N-terminal	3	2.6548672566371683	0.010415660556350384	Q9Z238, P13351, P14635	99	21	13224	19.082251082251084	0.9663711767883845	1.0	1.0
UP_KW_PTM	KW-0007~Acetylation	25	22.123893805309734	0.01061035290460037	Q6YP21, P04114, P26583, Q3T0M7, P14635, Q5RKZ7, P83871, P61025, Q08297, P02264, Q9UPQ4, Q5RB83, Q8MKD5, Q96J01, Q3T114, Q9H773, Q5R5C9, Q25008, Q00688, Q9JHY7, P0DPI2, O13008, O89110, Q13395, P00375	63	2184	8798	1.5985667771382057	0.16584809180794635	0.19098635228280667	0.19098635228280667
INTERPRO	IPR010920:Like-Sm (LSM) domain	3	2.6548672566371683	0.011271389280116818	P62321, P62309, Q18786	108	20	13184	18.31111111111111	0.9581603146205572	0.7889972496081773	0.7889972496081773
UP_KW_CELLULAR_COMPONENT	KW-0747~Spliceosome	5	4.424778761061947	0.01433871628278523	P62321, P62309, P83871, Q18786, Q5RBD4	97	118	12104	5.28743665909488	0.33261637809359157	0.13382801863932883	0.12904844654506709
UP_SEQ_FEATURE	DOMAIN:Sm	3	2.6548672566371683	0.014596759762314502	P62321, P62309, Q18786	99	25	13224	16.02909090909091	0.9914703450073026	1.0	1.0
GOTERM_BP_DIRECT	GO:0016122~xanthophyll metabolic process	2	1.7699115044247788	0.01570952986153509	Q5RF16, Q99NF1	98	2	12301	125.52040816326529	0.999941004703662	1.0	1.0
UP_KW_LIGAND	KW-0408~Iron	8	7.079646017699115	0.015796361094639076	P79733, O15528, Q5RKZ7, Q5RF16, A4QP81, Q5XIH9, Q99NF1, A6QLJ0	54	275	5479	2.951649831649832	0.2842121951699689	0.19922400324113695	0.19922400324113695
INTERPRO	IPR019345:Armet protein	2	1.7699115044247788	0.01616653895285344	P80513, Q9CXI5	108	2	13184	122.07407407407408	0.9895757461184926	0.9053261813597926	0.9053261813597926
