Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	21	1.8404907975460123	1.3196654020416746E-12	P04323, P08548, P0CT40, P11369, Q09575, P0CT39, P21329, Q95SX7, Q8I7P9, P21328, Q7SVK7, Q7LHG5, O00370, P14381, P20825	1087	38	13224	6.723091076356946	4.086835536654121E-9	4.087003750123066E-9	4.061930107484274E-9
INTERPRO	IPR000477:Reverse transcriptase	21	1.8404907975460123	1.8331224086550815E-12	P04323, P08548, P0CT40, P11369, Q09575, P0CT39, P21329, Q95SX7, Q8I7P9, P21328, Q7SVK7, Q7LHG5, O00370, P14381, P20825	1103	38	13184	6.605525600038173	3.1235840580734475E-9	3.123640584348259E-9	3.096143748218433E-9
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	19	1.6652059596844873	3.821342662278917E-11	P04323, P08548, P0CT40, P11369, P0CT39, P21329, Q95SX7, Q8I7P9, P21328, Q7SVK7, Q7LHG5, O00370, P20825	1002	35	11999	6.50074137439407	4.4098300011619074E-8	4.4098294322698705E-8	4.3983654042830334E-8
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	19	1.6652059596844873	3.934988771329293E-11	P04323, P08548, P0CT40, P11369, P0CT39, P21329, Q95SX7, Q8I7P9, P21328, Q7SVK7, Q7LHG5, O00370, P20825	715	35	8519	6.467972027972028	4.328484237703378E-9	4.328487648462222E-9	3.934988771329293E-9
GOTERM_BP_DIRECT	GO:0015074~DNA integration	19	1.6652059596844873	2.1525835387931345E-10	P04323, P03934, Q04202, P0CT40, P11369, Q09575, P0CT39, Q8I7P9, P35072, Q7SVK7, Q7LHG5, Q6R2W3, P20825	992	39	12301	6.041123862696443	6.74404235456727E-7	6.741891643500097E-7	6.735433892883718E-7
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	16	1.4022787028922	2.264196135482816E-9	P0CT39, P04323, Q8I7P9, Q7SVK7, Q7LHG5, Q6R2W3, P20825, P0CT40, P11369, Q09575	1087	30	13224	6.488316467341306	7.012190942012886E-6	3.5061077157951407E-6	3.484597852508054E-6
UP_KW_MOLECULAR_FUNCTION	KW-0273~Eye lens protein	15	1.3146362839614372	2.781316080703752E-9	P05813, P28022, A2IBY8, Q13515, P10043, Q007T1, Q06637, P02506, Q6DGY7, P55164, P02525, P02522, P62697, P48649, P48646	715	26	8519	6.873856912318451	3.0594472089084945E-7	1.5297238443870636E-7	1.390658040351876E-7
INTERPRO	IPR001584:Integrase, catalytic core	16	1.4022787028922	2.8902130728458375E-9	P0CT39, P04323, Q8I7P9, Q7SVK7, Q7LHG5, Q6R2W3, P20825, P0CT40, P11369, Q09575	1103	30	13184	6.374856452100333	4.924910949055672E-6	2.4624615380646533E-6	2.44078494001831E-6
GOTERM_MF_DIRECT	GO:0005212~structural constituent of eye lens	15	1.3146362839614372	9.544391574452588E-9	P05813, P28022, A2IBY8, Q13515, P10043, Q007T1, Q06637, P02506, Q6DGY7, P55164, P02525, P02522, P62697, P48649, P48646	1002	28	11999	6.415205303678357	1.101416731452698E-5	5.507113938459143E-6	5.492797351097464E-6
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 1	11	0.9640666082383873	6.784728226859506E-8	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1087	16	13224	8.363845446182152	2.1010096591578264E-4	7.00410110619463E-5	6.961131160757853E-5
SMART	SM00247:XTALbg	11	0.9640666082383873	7.821723552720699E-8	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	577	17	7503	8.41400754409216	2.7453873896798875E-5	2.7454249670049654E-5	2.7219597963468032E-5
GOTERM_CC_DIRECT	GO:0005839~proteasome core complex	11	0.9640666082383873	1.3825069642505542E-7	Q9IB83, Q8UW64, O70435, P60901, Q9R1P0, P28063, Q9Z2U1, P40306, O73672, Q2TBP0, Q9PTW9	1058	17	13005	7.953686200378073	9.041187432612396E-5	6.637744672153184E-5	6.495652278559691E-5
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 4	11	0.9640666082383873	1.526196603911954E-7	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1087	17	13224	7.871854537583203	4.725514365684358E-4	7.877718137192202E-5	7.829388578068324E-5
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 3	11	0.9640666082383873	1.526196603911954E-7	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1087	17	13224	7.871854537583203	4.725514365684358E-4	7.877718137192202E-5	7.829388578068324E-5
UP_SEQ_FEATURE	DOMAIN:Beta/gamma crystallin 'Greek key' 2	11	0.9640666082383873	1.526196603911954E-7	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1087	17	13224	7.871854537583203	4.725514365684358E-4	7.877718137192202E-5	7.829388578068324E-5
INTERPRO	IPR011024:Gamma-crystallin-related	11	0.9640666082383873	1.803866769581663E-7	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1103	17	13184	7.734200842621727	3.0733168914864883E-4	7.684472438417885E-5	7.616827434558571E-5
INTERPRO	IPR001064:Beta/gamma crystallin	11	0.9640666082383873	1.803866769581663E-7	Q007T1, P05813, P28022, Q6DGY7, P55164, P02525, P02522, P10043, P62697, P48649, P48646	1103	17	13184	7.734200842621727	3.0733168914864883E-4	7.684472438417885E-5	7.616827434558571E-5
GOTERM_CC_DIRECT	GO:0046540~U4/U6 x U5 tri-snRNP complex	14	1.2269938650306749	2.0298913370499034E-7	P62309, O43447, Q5RCP3, P62321, Q7SXM7, Q5XH16, Q3TIX9, O43290, Q18786, Q9UK45, P62323, P83877, O35900, P62315	1058	30	13005	5.736294896030246	1.3274609538671545E-4	6.637744672153184E-5	6.495652278559691E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0229~DNA integration	13	1.1393514460999123	2.0934766545507468E-7	P0CT39, P35072, Q7SVK7, Q7LHG5, P03934, Q04202, P0CT40	625	26	7803	6.2424	3.0564295253832086E-5	3.0564759156440904E-5	2.909932549825538E-5
GOTERM_BP_DIRECT	GO:0007601~visual perception	37	3.2427695004382118	2.651652900183471E-7	Q61412, P78424, Q14028, P43081, Q13515, P56695, Q9EQQ8, Q9EPQ2, Q6JAN0, Q3SXY7, O95475, P18545, Q007T1, Q6DGY7, B8JI71, P02525, Q95MN7, P62697, Q92834, P02522, Q8CGM2, Q9MZL5, P05813, A2IBY8, O42477, Q90805, Q804Q2, Q9TU17, Q8HZJ4, Q9W7R4, Q86UR5, Q5RI43, Q9JIS7, P55164, Q8WVH0, O14830, Q6VZZ7	992	180	12301	2.548930331541219	8.304179758886754E-4	4.1524884416873156E-4	4.1485109623370405E-4
INTERPRO	IPR001353:Proteasome, subunit alpha/beta	11	0.9640666082383873	3.754214509858528E-7	Q9IB83, Q8UW64, O70435, P60901, Q9R1P0, P28063, Q9Z2U1, P40306, O73672, Q2TBP0, Q9PTW9	1103	18	13184	7.304523018031631	6.395136965419157E-4	1.2794363049597863E-4	1.2681736614302108E-4
INTERPRO	IPR012337:Ribonuclease H-like domain	23	2.0157756354075373	4.853889571619759E-7	P04323, Q6EKJ0, A4Z943, O96006, Q86UP8, Q5SVZ6, P0CT40, P11369, Q09575, P0CT39, Q8I7P9, Q7SVK7, Q7LHG5, Q8UVX0, Q6R2W3, P20825, Q8UVK2	1103	81	13184	3.3940207962571214	8.2676102830892E-4	1.3785046383400115E-4	1.3663699144109622E-4
