Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	24	9.195402298850574	6.6772496719823E-4	P00592, Q60587, Q6GLL2, Q3S8M4, Q6VVX0, P06858, Q9BZW4, Q6NV04, Q3YL68, Q5R5Y3, O02697, Q3T114, O19094, Q5R8Y5, Q86VF5, P42125, B5X9L9, O15528, Q8MK44, Q16772, Q9JI99, Q7ZXF5, Q0P5B7, Q5EA87	149	403	5316	2.124735623761387	0.05771487669617259	0.05942752208064247	0.05942752208064247
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	37	14.17624521072797	7.200586649157329E-4	Q60587, Q6GLL2, Q5BJB7, A4IHB9, Q9BUR5, Q9BQP7, Q5T2N8, Q99MS3, Q28DE0, Q0VC74, Q29R99, A6NK06, P42125, Q32PL8, A4FUZ6, Q9NRK6, Q90257, P24456, P27105, Q8JZU0, Q6J329, Q9WV84, Q7TMS5, Q5ZMF3, Q3T114, P23919, P54987, O15528, Q99551, Q28HC6, Q8K3W2, P0DPI2, O89110, Q4JF29, Q497L9, Q1XHU0, O88484	240	766	8827	1.7765393820713666	0.16479619654374722	0.18001466622893322	0.18001466622893322
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	2.2988505747126435	8.726469813484829E-4	Q99315, P04323, Q8I7P9, P14381, P20825, P11369	247	28	8971	7.782822440717177	0.4947530019529953	0.6824099394145136	0.6824099394145136
INTERPRO	IPR000477:Reverse transcriptase	6	2.2988505747126435	8.829109196554169E-4	Q99315, P04323, Q8I7P9, P14381, P20825, P11369	246	28	8911	7.762195121951219	0.3727329319331526	0.46617696557806015	0.46617696557806015
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	8	3.065134099616858	0.0020063416313038196	Q99315, P04323, Q5DTV4, Q8I7P9, P20825, P11369, Q9PTU6, P58557	169	62	5766	4.402366863905325	0.127653243950697	0.09904662424660989	0.09613348823935666
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	5	1.9157088122605364	0.0027344020697302185	Q99315, P04323, Q8I7P9, P20825, P11369	247	22	8971	8.254508649245492	0.8824899301350717	1.0	1.0
INTERPRO	IPR001584:Integrase, catalytic core	5	1.9157088122605364	0.0027603488822710714	Q99315, P04323, Q8I7P9, P20825, P11369	246	22	8911	8.232631189948263	0.7676428088069117	0.7287321049195629	0.7287321049195629
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	9	3.4482758620689653	0.002913136007253232	Q99315, P04323, Q8I7P9, Q32PL8, P20825, Q7ZUP1, P11369, O95340, Q6ZM51	169	84	5766	3.6555367709213864	0.17994375234203341	0.09904662424660989	0.09613348823935666
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	5	1.9157088122605364	0.0029240792207073747	P97691, P47827, Q9JHY7, E6ZHJ8, O35280	235	22	8374	8.098646034816246	0.9632344170436671	1.0	1.0
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	7	2.681992337164751	0.004440738426305894	Q99315, P04323, Q5DTV4, Q8I7P9, P20825, P11369, P58557	236	54	8126	4.463433772755807	0.8511578150263709	0.7859768017081861	0.7859768017081861
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	5	1.9157088122605364	0.004593324295042495	Q99315, P04323, Q8I7P9, P20825, P11369	236	24	8126	7.1733757062146895	0.8606089210455462	0.7859768017081861	0.7859768017081861
UP_SEQ_FEATURE	PROPEP:Activation peptide	6	2.2988505747126435	0.004982715731606071	P00592, Q504N0, Q9BQR3, Q91041, Q7M3E1, P40313	247	41	8971	5.315098252197098	0.9798836750102276	1.0	1.0
INTERPRO	IPR012337:Ribonuclease H-like domain	7	2.681992337164751	0.00541475561603531	Q99315, P04323, O96006, Q8I7P9, P20825, Q86UP8, P11369	246	59	8911	4.29771255339672	0.9431170362420374	0.9529969884222145	0.9529969884222145
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	5	1.9157088122605364	0.005450394779232454	Q99315, P04323, Q8I7P9, P20825, P11369	169	25	5766	6.823668639053254	0.31039793242439284	0.12354228166260228	0.11990868514311398
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	4	1.532567049808429	0.005509183189543361	O15528, Q6VVX0, O35728, P24456	236	13	8126	10.594524119947849	0.9059989658017216	0.7859768017081861	0.7859768017081861
GOTERM_BP_DIRECT	GO:0015074~DNA integration	5	1.9157088122605364	0.007180277694252045	Q99315, P04323, Q8I7P9, P20825, P11369	235	28	8374	6.36322188449848	0.9997050105564537	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0540~Nuclease	9	3.4482758620689653	0.007919100814074723	Q99315, P04323, Q5DTV4, Q8I7P9, Q9BQP7, P20825, P11369, Q9PTU6, P58557	169	99	5766	3.101667563206025	0.41762598069912626	0.13462471383927027	0.13066516343223292
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	9	3.4482758620689653	0.008488266922561683	O00219, Q99MR9, Q3YL68, Q803M0, Q925U4, Q8BWJ3, Q5R5Y2, Q9GZX3, Q5EA87	235	104	8374	3.083715220949263	0.9999333218403106	1.0	1.0
UP_SEQ_FEATURE	BINDING:axial binding residue	6	2.2988505747126435	0.009753564899428984	O15528, Q6VVX0, O35728, Q9UHE8, Q6PHG2, P24456	247	48	8971	4.53997975708502	0.9995309156824232	1.0	1.0
GOTERM_MF_DIRECT	GO:0016829~lyase activity	6	2.2988505747126435	0.012063875094883525	A6NK06, Q5RKZ7, Q6NV04, Q9PTU6, P54987, Q5SPB6	236	48	8126	4.304025423728814	0.9944543212074953	1.0	1.0
INTERPRO	IPR013785:Aldolase-type TIM barrel	5	1.9157088122605364	0.012198019437937135	Q6P3H4, Q5RKZ7, O95620, Q5R5Y2, Q6P1R4	246	33	8911	5.488420793298842	0.9984664311084911	1.0	1.0
INTERPRO	IPR002401:Cytochrome P450, E-class, group I	4	1.532567049808429	0.012341740932922328	O15528, Q6VVX0, O35728, P24456	246	18	8911	8.049683830171636	0.9985798393304165	1.0	1.0
GOTERM_BP_DIRECT	GO:0006874~cellular calcium ion homeostasis	6	2.2988505747126435	0.012437223629328531	O62714, P11607, Q8MKD5, Q9Y6M5, P13207, O43826	235	50	8374	4.276085106382978	0.999999260403087	1.0	1.0
GOTERM_MF_DIRECT	GO:0016779~nucleotidyltransferase activity	6	2.2988505747126435	0.013126793162196308	Q99315, Q32PL8, Q7ZUP1, P11369, O95340, Q6ZM51	236	49	8126	4.216188170183328	0.9965016655714076	1.0	1.0
UP_KW_DOMAIN	KW-1133~Transmembrane helix	74	28.35249042145594	0.014437881755651898	P11607, Q6NV04, Q8IXU6, Q96KC8, Q99MS3, Q3MHK4, Q5ZJN2, Q99MR9, Q9NRK6, Q7ZXF5, Q9PUK8, Q8N3Y7, Q28ES4, P27105, Q8TEZ7, Q3S8M4, A4FUN9, Q3YL68, Q8VCL5, Q5R5Y3, Q8BGW2, Q9H553, Q8K4C2, O62714, P15145, Q9GKT2, Q7TQ95, Q96KN9, Q497L9, P49285, Q6GLL2, A4IHB9, Q9BUR5, P49684, Q695T7, Q9Y6M5, Q6XQG9, Q6ZM51, Q8MK44, Q6DC66, D0G895, Q5ZIJ2, Q9JI99, Q0P5B7, Q5EA87, Q9Y2A9, Q6NRS2, P24456, P26011, O00219, Q6DHJ3, P79762, Q9WTW3, Q6J329, Q9BZW4, Q7TMS5, P30372, Q5XGD7, Q9GZX3, Q08DE6, O43826, Q9UHE8, Q5R8Y5, Q9H1X3, Q86VF5, P0C7U4, Q96K37, Q8NG04, Q6ZVX9, Q5SZI1, Q925U4, Q6GNY8, Q7M3E1, Q8BHK1	156	2485	6493	1.2394417788783985	0.23031673965168964	0.1575007526036443	0.14000066898101715
UP_KW_LIGAND	KW-0408~Iron	11	4.21455938697318	0.014533623285990636	O15528, Q5RKZ7, Q6DHJ3, Q6VVX0, F1R345, Q5R5Y2, O35728, Q0VC74, Q9UHE8, Q6PHG2, P24456	97	175	3690	2.391163475699558	0.3459476324877472	0.2240072712105644	0.2240072712105644
UP_KW_LIGAND	KW-0349~Heme	6	2.2988505747126435	0.01544877732486651	O15528, Q6VVX0, O35728, Q9UHE8, Q6PHG2, P24456	97	57	3690	4.004340748779164	0.36333473027745244	0.2240072712105644	0.2240072712105644
UP_KW_CELLULAR_COMPONENT	KW-0492~Microsome	6	2.2988505747126435	0.015661026209719195	Q6VVX0, Q96KC8, O35728, Q0P5B7, Q5R8Y5, P24456	218	56	8225	4.04243119266055	0.4764816429977542	0.31203303573157976	0.31203303573157976
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	13	4.980842911877394	0.016026881828851446	Q6GLL2, P06858, Q9BZW4, Q6NV04, Q3YL68, Q5R5Y3, Q3T114, Q86VF5, P42125, Q16772, Q9JI99, Q7ZXF5, Q0P5B7	235	213	8374	2.1748476675656776	0.9999999878356828	1.0	1.0
INTERPRO	IPR017972:Cytochrome P450, conserved site	4	1.532567049808429	0.016561064418076088	O15528, Q6VVX0, O35728, P24456	246	20	8911	7.244715447154473	0.9998518756564291	1.0	1.0
SMART	SM00353:HLH	6	2.2988505747126435	0.016591976121241678	P17920, Q96HZ4, P59101, P79782, Q03062, Q91206	114	68	5118	3.961300309597523	0.8744014317809624	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	29	11.11111111111111	0.01687276880897732	Q60587, Q6GLL2, Q5BJB7, A4IHB9, Q9BUR5, Q9BQP7, Q28DE0, Q0VC74, Q29R99, A6NK06, P42125, Q32PL8, Q5ZIJ2, Q9NRK6, Q90257, Q8JZU0, Q6J329, Q9WV84, Q7TMS5, Q3T114, P54987, O15528, Q99551, Q28HC6, P0DPI2, Q4JF29, Q497L9, Q1XHU0, O88484	218	700	8225	1.563073394495413	0.502264348425847	0.31203303573157976	0.31203303573157976
UP_KW_DOMAIN	KW-0812~Transmembrane	74	28.35249042145594	0.017500083622627144	P11607, Q6NV04, Q8IXU6, Q96KC8, Q99MS3, Q3MHK4, Q5ZJN2, Q99MR9, Q9NRK6, Q7ZXF5, Q9PUK8, Q8N3Y7, Q28ES4, P27105, Q8TEZ7, Q3S8M4, A4FUN9, Q3YL68, Q8VCL5, Q5R5Y3, Q8BGW2, Q9H553, Q8K4C2, O62714, P15145, Q9GKT2, Q7TQ95, Q96KN9, Q497L9, P49285, Q6GLL2, A4IHB9, Q9BUR5, P49684, Q695T7, Q9Y6M5, Q6XQG9, Q6ZM51, Q8MK44, Q6DC66, D0G895, Q5ZIJ2, Q9JI99, Q0P5B7, Q5EA87, Q9Y2A9, Q6NRS2, P24456, P26011, O00219, Q6DHJ3, P79762, Q9WTW3, Q6J329, Q9BZW4, Q7TMS5, P30372, Q5XGD7, Q9GZX3, Q08DE6, O43826, Q9UHE8, Q5R8Y5, Q9H1X3, Q86VF5, P0C7U4, Q96K37, Q8NG04, Q6ZVX9, Q5SZI1, Q925U4, Q6GNY8, Q7M3E1, Q8BHK1	156	2504	6493	1.2300370688948965	0.2722446655425512	0.1575007526036443	0.14000066898101715
INTERPRO	IPR001128:Cytochrome P450	4	1.532567049808429	0.02149077743222421	O15528, Q6VVX0, O35728, P24456	246	22	8911	6.586104951958611	0.9999895701155307	1.0	1.0
GOTERM_BP_DIRECT	GO:0005977~glycogen metabolic process	4	1.532567049808429	0.022412617832466276	Q99MR9, Q803M0, Q8BWJ3, O43826	235	22	8374	6.478916827852998	0.9999999999921385	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	29	11.11111111111111	0.022831685541335106	P00592, Q6ZMP0, Q9BQR3, P06858, Q5QT17, Q9BUR5, Q8N2E2, P13207, P70389, Q9PTU6, P48806, Q504N0, Q20FD0, Q91041, Q5XJN2, Q5ZMT7, P20774, Q6PHG2, P79762, Q9R045, P35621, Q62059, Q9Y6R7, Q5RI43, P86239, Q8R555, Q7M3E1, Q6UXS0, P49747	218	718	8225	1.5238877105108484	0.6120779893404558	0.31203303573157976	0.31203303573157976
GOTERM_BP_DIRECT	GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic	4	1.532567049808429	0.0252550463895912	Q99315, Q5DTV4, Q3T114, P58557	235	23	8374	6.197224791859389	0.9999999999997056	1.0	1.0
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	4	1.532567049808429	0.0252550463895912	Q6VVX0, Q16772, Q5R8Y5, P24456	235	23	8374	6.197224791859389	0.9999999999997056	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0328~Glycosyltransferase	10	3.8314176245210727	0.026133133239960565	Q6P3H4, O00219, Q28HC6, Q3YL68, Q5R5Y3, Q7Z4H8, P19971, Q5EA87, Q9Y2A9, Q9H553	169	146	5766	2.33687282159358	0.8348144153191254	0.3009492941355377	0.2920978443080219
UP_KW_MOLECULAR_FUNCTION	KW-0929~Antimicrobial	3	1.1494252873563218	0.026554349482547444	A6NK06, P02264, P54987	169	9	5766	11.372781065088759	0.8396030114112335	0.3009492941355377	0.2920978443080219
INTERPRO	IPR015947:PUA-like domain	3	1.1494252873563218	0.029289524881606466	Q503P2, Q5ZJH9, O95340	246	10	8911	10.86707317073171	0.9999998474647722	1.0	1.0
SMART	SM00382:AAA	6	2.2988505747126435	0.029675896022654163	F1QDI9, O42586, Q5T2N8, Q9NRK6, Q7TMS5, I0IUP3	114	79	5118	3.4097268487674883	0.9761391633908887	1.0	1.0
UP_KW_LIGAND	KW-0464~Manganese	9	3.4482758620689653	0.03354356528311082	Q8JZU0, Q6P3H4, Q32PL8, Q3YL68, Q5R5Y3, Q5R5Y2, Q9PTU6, Q5EA87, O88484	97	145	3690	2.3611802346249555	0.6282198682066622	0.32425446440340455	0.32425446440340455
UP_KW_DOMAIN	KW-0732~Signal	49	18.773946360153257	0.034311979794199046	P00592, Q6ZMP0, P06858, Q96KC8, P70389, Q9PTU6, P48806, Q504N0, Q20FD0, Q91041, Q5ZMT7, Q9PUK8, Q6PHG2, Q6P158, Q9R045, Q62059, Q8K4C2, O62714, Q5RI43, P86239, P0DPI2, P40313, Q9BQR3, Q6VVX0, Q5QT17, Q9BUR5, Q9Y6M5, P13207, Q8N2E2, Q6XQG9, Q2L6L1, Q5RKZ7, D0G895, Q5ZIJ2, Q5XJN2, P20774, P26011, O42493, P79762, P35621, Q9GZX3, Q9Y6R7, Q9H1X3, Q8R555, Q7Z4H8, Q5SZI1, Q7M3E1, Q6UXS0, P49747	156	1580	6493	1.2908024991885751	0.46658749996741444	0.20587187876519428	0.18299722556906156
UP_SEQ_FEATURE	DOMAIN:bHLH	6	2.2988505747126435	0.03834032903247918	P17920, Q96HZ4, P59101, P79782, Q03062, Q91206	247	68	8971	3.204691593236485	0.9999999999999472	1.0	1.0
GOTERM_CC_DIRECT	GO:0005777~peroxisome	6	2.2988505747126435	0.03862199902321244	A4FUZ6, Q99MS3, Q7ZXF5, Q9D826, Q3T114, O19094	240	69	8827	3.1981884057971017	0.9999470891171771	1.0	1.0
